순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,N (N),5,N,Y,0.3928,1.0000,2,O, 
1,30,N (N),5,N,Y,0.3928,1.0000,2,O, 
2,29,N (N),5,N,Y,0.2285,1.0000,2,O, 
3,25,N (N),6,N,Y,0.3392,0.8684,2,O, 
4,23,Y (Y),5,N,Y,0.6888,0.7894,4,O, 
5,20,Y (Y),6,N,Y,0.6428,0.8333,3,O, 
6,18,Y (Y),6,N,Y,0.4960,1.0000,2,O, 
7,18,N (N),6,N,Y,0.7129,1.0000,3,O, 
8,17,N (N),5,N,Y,0.8492,0.8333,4,O, 
9,16,N (N),6,N,Y,0.5674,1.0000,3,O, 
10,15,Y (Y),5,N,Y,0.6428,1.0000,3,O, 
11,15,N (N),6,N,Y,0.2857,0.6944,2,O, 
12,15,N (N),5,N,Y,0.7500,0.8750,4,O, 
13,12,Y (Y),6,N,Y,0.8492,0.8333,4,O, 
14,12,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
15,12,Y (Y),5,Y,Y,0.8962,0.6842,4,O, 
16,11,N (N),6,N,Y,0.3730,0.9722,2,O, 
17,10,Y (Y),6,N,Y,0.5674,1.0000,2,O, 
18,10,Y (Y),6,N,Y,0.4166,1.0000,2,O, 
19,8,Y (Y),6,N,Y,0.4007,0.8611,2,O, 
20,8,Y (Y),6,N,Y,0.3690,0.8611,2,O, 
21,8,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
22,8,Y (Y),5,N,Y,0.4007,0.8333,2,O, 
23,7,Y (Y),6,N,Y,0.6468,1.0000,3,O, 
24,7,Y (Y),6,N,Y,0.4761,1.0000,2,O, 
25,7,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
26,7,Y (Y),5,N,Y,0.4246,1.0000,2,O, 
27,6,Y (Y),6,N,Y,0.4166,0.9722,2,O, 
28,5,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
29,5,Y (Y),6,N,Y,0.4246,1.0000,2,X, 
30,5,Y (Y),5,Y,Y,0.8888,0.8888,4,O, 
31,4,Y (Y),6,N,Y,0.4087,0.8611,2,X, 
32,3,Y (Y),6,N,Y,0.5714,0.9166,3,O, 
33,3,Y (Y),6,N,Y,0.4087,1.0000,2,X, 
34,3,Y (Y),6,N,Y,0.4087,0.8611,2,X, 
35,3,Y (Y),6,N,Y,0.3888,0.8611,2,X, 
36,3,N (N),6,N,Y,0.3888,0.8333,2,X, 
37,2,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
38,2,Y (Y),6,N,Y,0.5515,1.0000,3,O, 
39,2,Y (Y),6,N,Y,0.4722,1.0000,2,X, 
40,2,Y (Y),6,N,Y,0.4246,1.0000,2,X, 
41,2,Y (Y),6,N,Y,0.4087,1.0000,2,X, 
42,2,Y (Y),6,N,Y,0.1746,0.9444,2,X, 
43,1,Y (Y),6,N,Y,0.8174,0.8333,4,O, 
44,1,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
45,1,Y (Y),6,N,Y,0.7182,0.8333,3,O, 
46,1,Y (Y),6,N,Y,0.5198,1.0000,2,X, 
47,1,Y (Y),6,N,Y,0.4642,1.0000,2,X, 
48,1,Y (Y),6,N,Y,0.4484,1.0000,2,X, 
49,1,Y (Y),6,N,Y,0.4404,1.0000,2,X, 
50,1,Y (Y),6,N,Y,0.4246,1.0000,2,X, 
51,1,Y (Y),6,N,Y,0.4246,0.8611,2,X, 
52,1,Y (Y),6,N,Y,0.4007,0.9722,2,X, 
53,1,Y (Y),6,N,N,0.9087,0.8333,4,O, 
54,1,Y (Y),5,N,Y,0.4246,0.9166,2,X, 
55,1,N (N),6,Y,Y,1.0000,0.5263,5,O, 
