순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.8015,1.0000,4,O, 
1,36,N (N),6,Y,Y,0.8015,1.0000,4,O, 
2,36,N (N),6,N,Y,0.7620,0.7894,4,O, 
3,36,N (N),6,N,Y,0.5634,1.0000,3,O, 
4,36,N (N),6,N,Y,0.5428,1.0000,3,O, 
5,36,N (N),6,N,Y,0.5396,0.7380,3,O, 
6,36,N (N),6,N,Y,0.2642,0.9736,2,O, 
7,36,N (N),5,N,Y,0.6984,0.9473,4,O, 
8,36,N (N),5,N,Y,0.5238,0.7857,3,O, 
9,36,N (N),5,N,Y,0.4457,0.8157,3,O, 
10,36,N (N),5,N,Y,0.4457,0.8157,3,O, 
11,36,N (N),2,Y,Y,0.9761,0.6666,4,O, 
12,36,N (N),2,N,Y,0.8142,0.9473,4,O, 
13,35,N (N),6,N,Y,0.8357,1.0000,4,O, 
14,35,N (N),6,N,Y,0.4457,0.8157,3,O, 
15,35,N (N),5,N,Y,0.7142,0.7894,4,O, 
16,35,N (N),2,Y,Y,0.8142,1.0000,4,O, 
17,33,N (N),6,N,Y,0.4126,0.7500,3,O, 
18,32,N (N),6,N,Y,0.7571,0.9473,4,O, 
19,29,N (N),6,N,Y,0.4964,0.9736,3,O, 
20,28,N (N),6,N,Y,0.6714,0.9473,3,O, 
21,28,N (N),6,N,Y,0.2698,1.0000,2,O, 
22,27,N (N),6,N,Y,0.6357,1.0000,3,O, 
23,27,N (N),6,N,Y,0.3928,0.8684,3,O, 
24,27,N (N),6,N,Y,0.2619,0.8333,2,O, 
25,25,N (N),6,N,Y,0.2888,1.0000,2,O, 
26,25,N (N),6,N,Y,0.2888,0.8421,2,O, 
27,24,Y (Y),6,N,Y,0.9285,1.0000,4,O, 
28,24,Y (Y),6,N,N,0.3888,0.9444,3,O, 
29,23,N (N),6,N,Y,0.7500,1.0000,4,O, 
30,23,N (N),6,N,Y,0.3253,1.0000,2,O, 
31,23,N (N),4,N,Y,0.7936,1.0000,4,O, 
32,22,N (N),6,N,Y,0.2539,0.8888,2,O, 
33,21,N (N),5,Y,Y,0.9920,1.0000,4,O, 
34,20,N (N),6,N,Y,0.5629,0.7894,3,O, 
35,20,N (N),6,N,Y,0.5396,1.0000,3,O, 
36,20,N (N),6,N,Y,0.4642,0.7105,3,O, 
37,19,Y (Y),6,N,N,0.7936,1.0000,4,O, 
38,19,Y (Y),6,N,N,0.5476,0.9722,3,O, 
39,18,N (N),6,N,Y,0.7259,0.8421,4,O, 
40,18,N (N),6,N,Y,0.6746,0.9444,3,O, 
41,18,N (N),6,N,Y,0.3174,0.9166,2,O, 
42,18,N (N),6,N,Y,0.2740,1.0000,2,O, 
43,17,N (N),6,N,Y,0.7460,0.8333,4,O, 
44,17,N (N),6,N,Y,0.5259,0.8157,3,O, 
45,17,N (N),6,N,Y,0.4962,0.7894,3,O, 
46,17,N (N),6,N,Y,0.3444,0.7631,3,O, 
47,17,N (N),6,N,Y,0.2857,1.0000,2,O, 
48,17,N (N),6,N,Y,0.2518,0.8947,2,O, 
49,17,N (N),5,N,Y,0.3293,0.8611,2,O, 
50,16,N (N),6,N,Y,0.6984,1.0000,4,O, 
51,16,N (N),6,N,Y,0.6388,1.0000,3,O, 
52,16,N (N),6,N,Y,0.3253,0.8611,2,O, 
53,16,N (N),5,N,Y,0.6296,0.9473,4,O, 
54,15,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
55,15,N (N),6,N,Y,0.8148,0.7894,4,O, 
56,15,N (N),6,N,Y,0.7703,0.9473,4,O, 
57,15,N (N),6,N,Y,0.7571,1.0000,4,O, 
58,15,N (N),6,N,Y,0.6357,0.8421,3,O, 
59,15,N (N),6,N,Y,0.2619,1.0000,2,O, 
60,14,N (N),6,N,Y,0.5185,0.7894,3,X, 
61,14,N (N),6,N,Y,0.3253,0.8611,2,X, 
62,14,N (N),6,N,Y,0.3037,1.0000,2,X, 
63,14,N (N),6,N,Y,0.2962,1.0000,2,X, 
64,13,Y (Y),6,N,Y,0.6984,1.0000,3,X, 
65,13,N (N),6,N,Y,0.5333,0.9210,3,X, 
66,13,N (N),6,N,Y,0.5079,0.9722,3,X, 
67,13,N (N),6,N,Y,0.2888,1.0000,2,X, 
68,12,N (N),6,N,Y,0.6051,1.0000,3,X, 
69,12,N (N),6,N,Y,0.5317,0.6666,3,X, 
70,11,Y (Y),6,N,Y,0.2896,0.6944,2,X, 
71,11,N (N),6,N,Y,0.5476,0.9473,3,X, 
72,11,N (N),6,N,Y,0.2936,1.0000,2,X, 
73,11,N (N),6,N,Y,0.2785,1.0000,2,X, 
74,11,N (N),6,N,Y,0.2619,0.8888,2,X, 
75,11,N (N),5,N,Y,0.9841,0.6666,4,X, 
76,11,N (N),5,N,Y,0.7000,1.0000,4,X, 
77,10,Y (N),6,N,Y,0.4518,1.0000,2,X, 
78,10,Y (Y),6,N,Y,0.2857,0.8888,2,X, 
79,10,N (N),6,N,Y,0.6269,0.8333,3,X, 
80,10,N (N),6,N,Y,0.5142,0.9473,3,X, 
81,10,N (N),6,N,Y,0.2857,1.0000,2,X, 
82,10,N (N),6,N,Y,0.2380,0.8888,2,X, 
83,9,N (N),5,N,Y,0.2380,1.0000,2,X, 
84,8,Y (Y),6,N,Y,0.5000,0.8750,3,X, 
85,8,N (N),6,N,Y,0.2857,0.9444,2,X, 
86,7,Y (Y),6,N,Y,0.2777,1.0000,2,X, 
87,7,Y (Y),6,N,N,0.6507,1.0000,3,X, 
88,7,Y (Y),6,N,N,0.2698,1.0000,2,X, 
89,7,Y (Y),4,N,Y,0.2698,0.9444,2,X, 
90,7,N (N),6,N,Y,0.5407,0.9736,3,X, 
91,7,N (N),6,N,Y,0.2888,1.0000,2,X, 
92,7,N (N),6,N,Y,0.2539,1.0000,2,X, 
93,7,N (N),6,N,Y,0.2500,0.8947,2,X, 
94,7,N (N),6,N,Y,0.2142,0.6842,2,X, 
95,7,N (N),5,N,Y,0.3015,1.0000,2,X, 
96,6,Y (Y),6,N,Y,0.2817,1.0000,2,X, 
97,6,N (N),6,N,Y,0.4007,1.0000,2,X, 
98,6,N (N),6,N,Y,0.3015,1.0000,2,X, 
99,6,N (N),6,N,Y,0.2444,0.8421,2,X, 
100,5,Y (Y),6,N,Y,0.5000,0.8750,3,X, 
101,5,Y (Y),6,N,Y,0.2698,0.9444,2,X, 
102,5,Y (Y),6,N,Y,0.2619,0.8888,2,X, 
103,5,Y (Y),6,N,Y,0.2619,0.8888,2,X, 
104,5,N (N),6,N,Y,0.5500,0.7368,3,X, 
105,5,N (N),6,N,Y,0.5357,0.8611,3,X, 
106,5,N (N),6,N,Y,0.5185,0.7894,3,X, 
107,5,N (N),6,N,Y,0.5071,0.8684,3,X, 
108,5,N (N),6,N,Y,0.5000,1.0000,3,X, 
109,5,N (N),6,N,Y,0.2857,0.9473,2,X, 
110,5,N (N),6,N,Y,0.2539,0.8333,2,X, 
111,5,N (N),6,N,Y,0.2222,0.7368,2,X, 
112,5,N (N),6,N,N,0.2714,0.9473,2,X, 
113,5,N (N),5,N,Y,0.6904,0.6666,4,X, 
114,4,Y (Y),6,N,Y,0.2619,0.7500,2,X, 
115,4,Y (Y),4,N,Y,0.3095,1.0000,2,X, 
116,3,Y (Y),6,N,Y,0.2698,0.9444,2,X, 
117,3,Y (Y),6,N,Y,0.2619,1.0000,2,X, 
118,3,Y (Y),6,N,Y,0.2142,0.8888,2,X, 
119,3,N (N),6,Y,Y,0.9428,0.8421,4,X, 
120,3,N (N),6,N,Y,0.9047,1.0000,4,X, 
121,3,N (N),6,N,Y,0.7698,0.7894,4,X, 
122,3,N (N),6,N,Y,0.5317,1.0000,3,X, 
123,3,N (N),6,N,Y,0.4814,0.9736,3,X, 
124,3,N (N),6,N,Y,0.3253,1.0000,2,X, 
125,3,N (N),6,N,Y,0.3000,1.0000,2,X, 
126,3,N (N),6,N,Y,0.3000,1.0000,2,X, 
127,3,N (N),6,N,Y,0.2857,1.0000,2,X, 
128,3,N (N),6,N,Y,0.2666,0.8421,2,X, 
129,3,N (N),6,N,Y,0.2579,0.8055,2,X, 
130,3,N (N),6,N,Y,0.2539,0.8055,2,X, 
131,3,N (N),6,N,Y,0.2460,0.8611,2,X, 
132,2,Y (Y),6,N,Y,0.3333,1.0000,2,X, 
133,2,Y (Y),6,N,Y,0.3253,1.0000,2,X, 
134,2,Y (Y),6,N,Y,0.2777,0.9722,2,X, 
135,2,Y (Y),6,N,Y,0.2619,1.0000,2,X, 
