순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.8174,0.8888,4,O, 
1,36,N (N),6,N,Y,0.8174,0.8888,4,O, 
2,36,N (N),6,N,Y,0.7698,1.0000,4,O, 
3,36,N (N),6,N,Y,0.7460,0.3333,4,O, 
4,36,N (N),6,N,Y,0.6052,0.9583,2,O, 
5,36,N (N),6,N,Y,0.5259,0.9473,3,O, 
6,36,N (N),6,N,Y,0.4888,1.0000,3,O, 
7,36,N (N),6,N,Y,0.4857,1.0000,3,O, 
8,36,N (N),6,N,Y,0.2142,0.5526,2,O, 
9,36,N (N),2,N,Y,1.0000,1.0000,4,O, 
10,30,N (N),6,N,Y,0.7222,1.0000,4,O, 
11,30,N (N),6,N,Y,0.5000,0.8750,3,O, 
12,30,N (N),5,N,Y,0.5476,1.0000,3,O, 
13,30,N (N),4,N,Y,0.8296,0.8947,4,O, 
14,29,N (N),6,N,Y,0.6984,1.0000,4,O, 
15,27,N (N),6,N,Y,0.5317,1.0000,3,O, 
16,25,N (N),6,N,Y,0.6428,1.0000,3,O, 
17,25,N (N),6,N,Y,0.4928,1.0000,3,O, 
18,25,N (N),6,N,Y,0.3333,1.0000,2,O, 
19,24,N (N),6,N,Y,0.5285,0.9473,3,O, 
20,24,N (N),6,N,Y,0.2936,0.9444,2,O, 
21,24,N (N),5,N,N,0.5317,0.8333,3,O, 
22,21,N (N),6,N,Y,0.7619,0.7222,4,O, 
23,20,N (N),6,N,Y,0.2888,1.0000,2,O, 
24,20,N (N),6,N,Y,0.2777,1.0000,2,O, 
25,20,N (N),5,Y,Y,0.8888,0.9473,4,O, 
26,19,N (N),6,N,Y,0.2714,1.0000,2,O, 
27,19,N (N),5,N,Y,0.2619,0.8888,2,O, 
28,19,N (N),4,N,Y,0.2817,0.8611,2,O, 
29,18,N (N),6,N,Y,0.5185,0.8947,3,O, 
30,18,N (N),6,N,Y,0.4841,1.0000,3,O, 
31,18,N (N),6,N,Y,0.4814,0.6842,3,O, 
32,18,N (N),4,N,Y,0.9126,0.8333,4,O, 
33,17,N (N),5,N,Y,0.4841,0.8333,3,O, 
34,16,N (N),6,N,Y,0.5037,0.7894,3,O, 
35,16,N (N),5,N,Y,0.5476,1.0000,3,O, 
36,16,N (N),4,N,Y,0.7936,0.8333,4,O, 
37,15,N (N),6,N,Y,0.6190,0.8333,3,O, 
38,15,N (N),5,N,Y,0.2619,0.8888,2,O, 
39,14,N (N),6,N,Y,0.2592,1.0000,2,O, 
40,14,N (N),6,N,Y,0.2460,0.9166,2,O, 
41,14,N (N),6,N,Y,0.2444,0.8947,2,O, 
42,13,N (N),6,N,Y,0.2777,0.8888,2,O, 
43,12,N (N),6,N,Y,0.2777,1.0000,2,O, 
44,12,N (N),5,N,Y,0.2666,0.8421,2,O, 
45,10,N (N),6,N,Y,0.6928,0.7894,4,O, 
46,10,N (N),6,N,Y,0.2936,1.0000,2,O, 
47,10,N (N),5,N,Y,0.9583,1.0000,4,O, 
48,10,N (N),5,N,Y,0.5000,0.8750,3,O, 
49,9,N (N),6,N,Y,0.3253,1.0000,2,O, 
50,7,N (N),6,N,Y,0.2817,1.0000,2,O, 
51,7,N (N),4,N,Y,0.7428,0.8421,4,X, 
52,6,N (N),6,N,Y,0.2888,0.8947,2,X, 
53,3,N (N),6,N,Y,0.5238,0.8333,3,X, 
54,3,N (N),6,N,Y,0.2857,1.0000,2,X, 
55,3,N (N),6,N,Y,0.2698,0.8888,2,X, 
56,3,N (N),5,N,N,0.5317,0.8333,3,X, 
57,1,N (N),6,N,Y,0.8412,1.0000,4,X, 
58,1,N (N),6,N,Y,0.8412,1.0000,4,X, 
59,1,N (N),6,N,Y,0.7460,1.0000,3,X, 
60,1,N (N),6,N,Y,0.7222,1.0000,4,X, 
61,1,N (N),6,N,Y,0.2936,1.0000,2,X, 
