순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,N (N),6,N,Y,0.2888,1.0000,2,O, 
1,25,N (N),6,N,Y,0.2888,1.0000,2,O, 
2,24,N (N),5,N,Y,0.7500,1.0000,4,O, 
3,22,N (N),3,Y,N,1.0000,0.7894,5,O, 
4,21,N (N),6,N,N,0.7936,0.8888,4,O, 
5,20,N (N),6,N,Y,0.4523,0.7222,3,O, 
6,20,N (N),6,N,N,0.7285,1.0000,4,O, 
7,17,N (N),6,N,Y,0.2785,1.0000,2,O, 
8,17,N (N),6,N,Y,0.2619,0.8888,2,O, 
9,17,N (N),6,N,Y,0.2222,0.8684,2,O, 
10,16,N (N),4,N,Y,0.1507,0.7222,2,O, 
11,15,N (N),6,N,Y,0.9333,0.9473,4,O, 
12,13,N (N),6,N,Y,0.2296,0.6315,2,O, 
13,12,N (N),6,N,Y,0.3571,1.0000,2,O, 
14,11,N (N),6,N,Y,0.3888,0.5000,3,O, 
15,11,N (N),6,N,Y,0.2518,0.8421,2,O, 
16,10,N (N),6,N,Y,0.4500,0.8421,3,O, 
17,9,N (N),6,N,Y,0.2851,0.9210,2,O, 
18,9,N (N),5,N,Y,0.5000,0.8750,3,O, 
19,5,N (N),5,N,N,0.8285,0.7894,4,O, 
20,3,N (N),6,N,Y,0.2619,0.8888,2,O, 
21,2,N (N),6,Y,N,1.0000,1.0000,4,O, 
22,2,N (N),6,N,Y,0.5214,0.9473,3,O, 
23,2,N (N),6,N,Y,0.4642,0.9473,3,O, 
24,2,N (N),6,N,N,0.8214,1.0000,4,O, 
25,2,N (N),6,N,N,0.2817,0.6944,2,O, 
26,1,N (N),6,N,Y,0.8015,0.9444,4,O, 
27,1,N (N),6,N,Y,0.4370,0.8421,3,O, 
28,1,N (N),6,N,Y,0.2555,0.9736,2,O, 
29,1,N (N),6,N,N,0.5333,1.0000,3,O, 
30,1,N (N),6,N,N,0.4365,1.0000,3,O, 
31,1,N (N),6,N,N,0.3629,0.7894,3,O, 
32,1,N (N),6,N,N,0.2857,1.0000,2,O, 
33,1,N (N),6,N,N,0.2444,0.6842,2,O, 
34,1,N (N),6,N,N,0.2074,0.8947,2,O, 
