순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9111,0.6315,4,O, 
1,36,N (N),6,Y,Y,0.9111,0.6315,4,O, 
2,36,N (N),6,Y,Y,0.9000,0.9473,4,O, 
3,36,N (N),6,N,Y,0.7185,0.9473,4,O, 
4,36,N (N),6,N,Y,0.6825,0.8333,3,O, 
5,36,N (N),6,N,Y,0.6190,0.7222,3,O, 
6,36,N (N),6,N,Y,0.5407,1.0000,3,O, 
7,36,N (N),6,N,Y,0.5357,0.8947,3,O, 
8,36,N (N),6,N,Y,0.2666,0.8421,2,O, 
9,36,N (N),6,N,N,0.8444,0.7894,4,O, 
10,36,N (N),5,N,Y,0.7500,1.0000,4,O, 
11,36,N (N),5,N,Y,0.5407,0.9473,3,O, 
12,36,N (N),5,N,Y,0.3015,1.0000,2,O, 
13,36,N (N),4,Y,Y,0.9481,1.0000,4,O, 
14,36,N (N),4,N,Y,0.4216,0.8947,3,O, 
15,36,N (N),3,Y,Y,1.0000,0.8947,4,O, 
16,36,N (N),1,Y,Y,1.0000,0.8421,4,O, 
17,35,N (N),6,N,Y,0.5629,0.9473,3,O, 
18,35,N (N),6,N,Y,0.5481,0.7368,3,O, 
19,35,N (N),6,N,Y,0.5037,0.8947,3,O, 
20,35,N (N),6,N,Y,0.2000,0.7631,2,O, 
21,35,N (N),5,Y,Y,0.9428,0.9473,4,O, 
22,34,N (N),5,Y,Y,0.9925,0.7894,4,O, 
23,32,N (N),6,N,Y,0.4962,0.7894,3,O, 
24,30,N (N),6,N,Y,0.5259,1.0000,3,O, 
25,30,N (N),6,N,Y,0.2539,0.9444,2,O, 
26,28,N (N),6,N,Y,0.8071,0.9473,4,O, 
27,28,N (N),6,N,Y,0.6052,0.9583,2,O, 
28,28,N (N),5,Y,N,0.9523,0.7222,4,O, 
29,27,N (N),6,N,Y,0.7555,0.9473,4,O, 
30,26,N (N),6,N,Y,0.5142,0.8421,3,O, 
31,25,N (N),6,N,Y,0.7851,0.8421,4,O, 
32,25,N (N),6,N,Y,0.7214,1.0000,4,O, 
33,25,N (N),6,N,Y,0.5071,0.9473,3,O, 
34,25,N (N),6,N,Y,0.2936,1.0000,2,O, 
35,25,N (N),6,N,Y,0.2896,0.9722,2,O, 
36,25,N (N),6,N,Y,0.2698,0.8888,2,O, 
37,25,N (N),5,N,Y,0.8015,1.0000,4,O, 
38,24,N (N),6,N,Y,0.7571,1.0000,4,O, 
39,24,N (N),6,N,Y,0.7214,1.0000,4,O, 
40,24,N (N),6,N,Y,0.6222,0.9473,3,O, 
41,24,N (N),5,N,Y,0.2888,1.0000,2,O, 
42,23,N (N),6,N,Y,0.6571,1.0000,3,O, 
43,23,N (N),6,N,Y,0.2571,1.0000,2,O, 
44,23,N (N),6,N,Y,0.2518,0.8947,2,O, 
45,22,N (N),6,N,Y,0.7714,1.0000,4,O, 
46,22,N (N),6,N,Y,0.3015,0.8333,2,O, 
47,21,N (N),6,N,Y,0.8785,0.9473,4,O, 
48,21,N (N),6,N,Y,0.5142,1.0000,3,O, 
49,21,N (N),6,N,Y,0.2962,1.0000,2,O, 
50,21,N (N),5,N,Y,0.8074,0.7894,4,O, 
51,20,N (N),6,N,Y,0.8142,0.9473,4,O, 
52,20,N (N),6,N,Y,0.7936,0.8888,4,O, 
53,20,N (N),6,N,Y,0.7928,0.9473,4,O, 
54,20,N (N),6,N,Y,0.5000,0.8750,3,O, 
55,20,N (N),6,N,Y,0.2888,0.4736,3,O, 
56,20,N (N),6,N,Y,0.2259,0.5526,2,O, 
57,20,N (N),6,N,Y,0.1111,0.0526,2,O, 
58,20,N (N),6,N,N,0.7111,1.0000,4,O, 
59,19,N (N),6,N,Y,0.5000,0.8947,3,O, 
60,19,N (N),6,N,Y,0.2785,1.0000,2,O, 
61,19,N (N),6,N,Y,0.2777,0.8888,2,O, 
62,19,N (N),5,N,Y,0.8370,0.9473,4,O, 
63,19,N (N),5,N,Y,0.2777,0.7777,2,O, 
64,19,N (N),5,N,Y,0.2666,0.8421,2,O, 
65,18,N (N),6,N,Y,0.8212,1.0000,4,O, 
66,18,N (N),6,N,Y,0.7714,1.0000,4,O, 
67,18,N (N),6,N,Y,0.6269,0.8888,3,O, 
68,18,N (N),6,N,Y,0.5142,1.0000,3,O, 
69,18,N (N),6,N,Y,0.3222,0.9736,2,O, 
70,18,N (N),6,N,Y,0.2500,1.0000,2,O, 
71,18,N (N),6,N,Y,0.2142,0.8888,2,O, 
72,18,N (N),5,N,Y,0.8412,0.9444,4,O, 
73,18,N (N),4,N,Y,0.8142,0.4736,4,O, 
74,18,N (N),4,N,N,0.8095,0.8333,4,O, 
75,17,N (N),6,N,Y,0.7785,1.0000,4,O, 
76,17,N (N),6,N,Y,0.5873,0.8333,3,O, 
77,17,N (N),6,N,Y,0.3629,0.7894,2,O, 
78,17,N (N),6,N,Y,0.2785,1.0000,2,O, 
79,17,N (N),6,N,N,0.7142,1.0000,4,O, 
80,17,N (N),5,N,Y,0.3555,0.9473,2,O, 
81,17,N (N),4,N,Y,0.2817,0.8611,2,O, 
82,16,N (N),6,N,Y,0.8214,0.7894,4,O, 
83,16,N (N),6,N,Y,0.7698,0.8333,4,O, 
84,16,N (N),6,N,Y,0.5714,0.8333,3,O, 
85,16,N (N),6,N,Y,0.5317,0.8888,3,O, 
86,16,N (N),6,N,Y,0.5259,0.7894,3,O, 
87,16,N (N),6,N,Y,0.4920,0.8333,3,O, 
88,16,N (N),6,N,Y,0.3015,1.0000,2,O, 
89,15,N (N),6,Y,Y,0.8444,1.0000,4,O, 
90,15,N (N),6,N,Y,0.7629,1.0000,4,O, 
91,15,N (N),6,N,Y,0.7222,0.8333,4,O, 
92,15,N (N),6,N,Y,0.5952,0.8333,3,O, 
93,15,N (N),6,N,Y,0.5555,1.0000,3,O, 
94,15,N (N),6,N,Y,0.3412,1.0000,2,O, 
95,15,N (N),6,N,Y,0.3111,0.8947,2,O, 
96,15,N (N),6,N,Y,0.3095,1.0000,2,O, 
