순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),3,Y,Y,1.0000,0.8421,4,O, 
1,36,N (N),3,Y,Y,1.0000,0.8421,4,O, 
2,35,N (N),6,N,Y,0.5500,0.9473,3,O, 
3,35,N (N),4,N,Y,0.9785,0.1578,4,O, 
4,30,N (N),6,N,Y,0.5396,1.0000,3,O, 
5,25,N (N),5,N,Y,0.4666,0.7894,3,O, 
6,24,N (N),6,N,Y,0.7571,0.9444,4,O, 
7,21,N (N),6,N,Y,0.7500,0.9473,4,O, 
8,20,N (N),6,N,Y,0.2888,0.9473,2,O, 
9,17,N (N),6,Y,Y,0.9357,1.0000,4,O, 
10,15,N (N),6,N,Y,0.7777,1.0000,4,O, 
11,15,N (N),6,N,Y,0.7428,0.9473,4,O, 
12,15,N (N),6,N,Y,0.5407,0.8421,3,O, 
13,14,N (N),6,N,Y,0.7851,0.9473,4,O, 
14,14,N (N),6,N,Y,0.6814,1.0000,4,O, 
15,14,N (N),6,N,Y,0.5111,0.7894,3,O, 
16,12,N (N),6,N,Y,0.7142,1.0000,4,O, 
17,12,N (N),6,N,Y,0.2777,0.8333,2,O, 
18,12,N (N),6,N,Y,0.2518,1.0000,2,O, 
19,12,N (N),5,N,Y,0.2817,0.8611,2,O, 
20,10,N (N),6,N,Y,0.2976,0.8611,2,O, 
21,7,N (N),6,N,Y,0.2333,0.7631,2,O, 
22,5,N (N),6,N,Y,0.6962,0.7894,4,O, 
23,4,N (N),6,N,Y,0.5428,1.0000,3,O, 
24,4,N (N),6,N,Y,0.4962,0.6315,3,O, 
25,3,N (N),6,N,Y,0.2666,0.8421,2,O, 
26,3,N (N),5,N,Y,0.2666,0.8421,2,O, 
27,2,N (N),6,N,Y,0.5333,1.0000,3,O, 
28,2,N (N),6,N,Y,0.2857,0.8888,2,O, 
29,1,N (N),6,Y,Y,0.8714,0.9473,4,O, 
30,1,N (N),6,N,Y,0.9047,1.0000,4,O, 
31,1,N (N),6,N,Y,0.3571,1.0000,3,O, 
32,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
33,1,N (N),6,N,Y,0.2518,0.8947,2,O, 
34,1,N (N),5,Y,Y,0.9603,1.0000,4,O, 
35,1,N (N),1,Y,Y,1.0000,0.1578,4,O, 
