순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7936,0.8333,4,O, 
1,36,Y (Y),6,N,Y,0.7936,0.8333,4,O, 
2,24,Y (Y),6,N,Y,0.2619,0.6666,2,O, 
3,23,Y (Y),6,N,Y,0.8518,0.9473,4,O, 
4,20,Y (Y),6,Y,Y,0.8285,0.7894,4,O, 
5,20,Y (Y),5,Y,Y,0.9206,0.8333,4,O, 
6,19,Y (Y),6,N,Y,0.4555,0.9736,2,O, 
7,17,Y (Y),4,N,Y,0.5317,0.8611,3,O, 
8,15,Y (Y),6,N,Y,0.4880,1.0000,2,O, 
9,13,Y (Y),6,N,Y,0.4444,0.8055,2,O, 
10,12,Y (Y),6,Y,Y,0.9444,0.6666,4,O, 
11,12,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
12,12,Y (Y),6,N,Y,0.4087,1.0000,2,O, 
13,12,Y (Y),6,N,Y,0.2888,1.0000,2,O, 
14,12,Y (Y),6,N,Y,0.2857,0.8888,2,O, 
15,10,Y (Y),6,N,Y,0.5833,1.0000,3,O, 
16,10,Y (Y),6,N,Y,0.4185,1.0000,2,O, 
17,10,Y (Y),6,N,Y,0.2738,0.7500,2,O, 
18,8,Y (Y),6,N,Y,0.3321,0.6578,2,O, 
19,7,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
20,6,Y (Y),6,N,Y,0.2259,0.8157,2,O, 
21,5,Y (Y),6,N,Y,0.5634,1.0000,3,O, 
22,3,Y (Y),6,N,Y,0.4111,0.8684,2,O, 
23,2,Y (Y),6,N,Y,0.2261,0.5277,2,O, 
24,2,Y (Y),4,N,Y,0.8571,1.0000,4,O, 
25,1,Y (Y),6,Y,Y,0.9523,1.0000,4,O, 
26,1,Y (Y),6,N,Y,0.7500,1.0000,4,O, 
27,1,Y (Y),6,N,Y,0.6111,1.0000,3,O, 
28,1,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
29,1,Y (Y),6,N,Y,0.5238,0.8611,3,O, 
30,1,Y (Y),6,N,Y,0.4960,1.0000,2,O, 
