순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9333,0.7894,4,O, 
1,36,N (N),6,Y,Y,0.9333,0.7894,4,O, 
2,36,N (N),6,Y,Y,0.8785,0.9473,4,O, 
3,36,N (N),6,N,Y,0.6944,0.7222,4,O, 
4,36,N (N),6,N,Y,0.6349,0.8333,3,O, 
5,36,N (N),6,N,Y,0.5921,0.8541,2,O, 
6,36,N (N),6,N,Y,0.5555,0.9736,3,O, 
7,36,N (N),6,N,Y,0.5481,0.9736,3,O, 
8,36,N (N),6,N,Y,0.5444,0.9736,3,O, 
9,36,N (N),6,N,Y,0.5185,0.9736,3,O, 
10,36,N (N),6,N,Y,0.5178,1.0000,3,O, 
11,36,N (N),6,N,Y,0.5111,0.8157,3,O, 
12,36,N (N),6,N,Y,0.5079,1.0000,3,O, 
13,36,N (N),6,N,Y,0.5000,0.8157,3,O, 
14,36,N (N),6,N,Y,0.4563,1.0000,2,O, 
15,36,N (N),6,N,Y,0.3809,1.0000,2,O, 
16,36,N (N),6,N,Y,0.3253,1.0000,2,O, 
17,36,N (N),6,N,Y,0.3214,1.0000,2,O, 
18,36,N (N),6,N,Y,0.3214,0.8684,2,O, 
19,36,N (N),6,N,Y,0.3111,1.0000,2,O, 
20,36,N (N),6,N,Y,0.3000,1.0000,2,O, 
21,36,N (N),6,N,Y,0.3000,0.7105,2,O, 
22,36,N (N),6,N,Y,0.2962,0.6315,2,O, 
23,36,N (N),6,N,Y,0.2925,1.0000,2,O, 
24,36,N (N),6,N,Y,0.2817,0.9166,2,O, 
25,36,N (N),6,N,Y,0.2785,1.0000,2,X, 
26,36,N (N),6,N,Y,0.2740,0.8947,2,X, 
27,36,N (N),6,N,Y,0.2714,1.0000,2,X, 
28,36,N (N),6,N,Y,0.2698,0.8888,2,X, 
29,36,N (N),6,N,Y,0.2571,0.8421,2,X, 
30,36,N (N),6,N,Y,0.2222,0.6842,2,X, 
31,36,N (N),6,N,Y,0.2107,1.0000,2,X, 
32,36,N (N),6,N,Y,0.1928,0.5263,2,X, 
33,36,N (N),6,N,Y,0.1222,0.8684,2,X, 
34,36,N (N),6,N,N,0.5222,0.9210,3,O, 
35,36,N (N),5,N,Y,0.5079,0.6944,3,O, 
36,36,N (N),5,N,Y,0.4071,0.5000,3,O, 
37,36,N (N),5,N,Y,0.2629,0.9736,2,X, 
38,36,N (N),5,N,Y,0.1629,0.1578,2,X, 
39,36,N (N),4,N,Y,0.8650,1.0000,4,O, 
40,36,N (N),4,N,Y,0.4880,0.6944,2,X, 
41,36,N (N),4,N,Y,0.3055,1.0000,2,X, 
42,36,N (N),2,Y,Y,0.9407,1.0000,4,O, 
43,33,N (N),6,N,Y,0.6111,0.9722,3,O, 
44,32,N (N),6,N,Y,0.5333,0.8157,3,X, 
45,32,N (N),6,N,Y,0.4761,1.0000,2,X, 
46,31,N (N),6,N,Y,0.2000,0.5263,2,X, 
47,27,N (N),6,N,Y,0.2539,0.8888,2,X, 
48,26,N (N),6,N,Y,0.5701,0.7894,3,X, 
49,26,N (N),6,N,Y,0.2785,1.0000,2,X, 
50,25,N (N),6,N,Y,0.5888,0.6842,3,X, 
51,24,N (N),5,N,Y,0.7142,1.0000,3,X, 
52,24,N (N),5,N,Y,0.5000,0.9210,3,X, 
53,23,N (N),6,N,Y,0.2642,0.7368,2,X, 
54,19,N (N),6,Y,Y,0.9928,0.6315,4,O, 
55,19,N (N),6,N,Y,0.5666,1.0000,3,X, 
56,15,N (N),6,N,Y,0.5000,0.7500,3,X, 
57,15,N (N),6,N,Y,0.4535,0.6578,3,X, 
58,14,N (N),6,N,Y,0.3611,0.5277,2,X, 
59,6,N (N),6,Y,Y,0.9703,0.6315,4,O, 
60,4,N (N),6,N,Y,0.3000,1.0000,2,X, 
61,1,N (N),6,Y,Y,0.9880,0.8333,4,O, 
62,1,N (N),6,N,Y,0.7571,0.8421,4,O, 
63,1,N (N),6,N,Y,0.5595,1.0000,3,X, 
64,1,N (N),6,N,Y,0.2936,1.0000,2,X, 
65,1,N (N),6,N,Y,0.2888,1.0000,2,X, 
66,1,N (N),6,N,Y,0.1750,0.6315,2,X, 
