순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,N (N),6,N,Y,0.9407,0.7894,4,O, 
1,30,N (N),6,N,Y,0.9407,0.7894,4,O, 
2,20,N (N),5,N,Y,1.0000,0.6666,4,O, 
3,18,N (N),6,N,Y,0.8095,1.0000,4,O, 
4,15,N (N),4,N,Y,0.9357,0.6315,4,O, 
5,12,N (N),6,N,Y,0.3333,1.0000,2,O, 
6,10,N (N),6,N,Y,0.5703,1.0000,3,O, 
7,10,N (N),5,Y,Y,0.8962,0.8947,4,O, 
8,8,N (N),6,N,Y,0.8740,0.7368,4,O, 
9,8,N (N),6,N,Y,0.7785,0.9473,4,O, 
10,7,N (N),6,N,Y,0.7285,0.9473,4,O, 
11,5,N (N),6,N,Y,0.8000,0.9473,4,O, 
12,3,N (N),6,N,Y,0.7185,1.0000,4,O, 
13,3,N (N),6,N,Y,0.6000,0.9210,3,O, 
14,3,N (N),6,N,Y,0.4107,0.9736,2,O, 
15,3,N (N),6,N,Y,0.2814,0.9473,2,O, 
16,2,N (N),6,N,Y,0.5634,0.8611,3,O, 
17,1,N (N),6,Y,Y,1.0000,0.9473,4,O, 
18,1,N (N),6,N,Y,1.0000,1.0000,4,O, 
19,1,N (N),6,N,Y,0.9523,1.0000,4,O, 
20,1,N (N),6,N,Y,0.7785,0.7894,4,O, 
21,1,N (N),6,N,Y,0.7357,0.7894,4,O, 
22,1,N (N),6,N,Y,0.7185,0.9473,4,O, 
23,1,N (N),6,N,Y,0.5071,0.8157,3,O, 
24,1,N (N),6,N,Y,0.5000,0.9444,3,O, 
25,1,N (N),6,N,Y,0.4777,0.7368,3,O, 
26,1,N (N),6,N,Y,0.3333,1.0000,2,O, 
27,1,N (N),6,N,Y,0.2740,0.8421,2,O, 
28,1,N (N),6,N,Y,0.2539,1.0000,2,O, 
29,1,N (N),5,N,Y,0.6928,0.8947,4,O, 
