순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9365,1.0000,4,O, 
1,36,N (N),6,Y,Y,0.9365,1.0000,4,O, 
2,36,N (N),6,N,Y,1.0000,1.0000,4,O, 
3,36,N (N),6,N,Y,1.0000,1.0000,4,O, 
4,36,N (N),6,N,Y,0.8888,1.0000,4,O, 
5,36,N (N),6,N,Y,0.8650,0.8611,4,O, 
6,36,N (N),6,N,Y,0.8185,1.0000,4,O, 
7,36,N (N),6,N,Y,0.8071,0.9473,4,O, 
8,36,N (N),6,N,Y,0.8000,0.8947,4,O, 
9,36,N (N),6,N,Y,0.7259,1.0000,3,O, 
10,36,N (N),6,N,Y,0.7259,0.8421,4,O, 
11,36,N (N),6,N,Y,0.6740,1.0000,3,O, 
12,36,N (N),6,N,Y,0.6333,0.9473,3,O, 
13,36,N (N),6,N,Y,0.6190,1.0000,3,O, 
14,36,N (N),6,N,Y,0.6071,1.0000,3,O, 
15,36,N (N),6,N,Y,0.5952,1.0000,3,O, 
16,36,N (N),6,N,Y,0.5851,1.0000,3,O, 
17,36,N (N),6,N,Y,0.5703,0.9736,3,O, 
18,36,N (N),6,N,Y,0.5555,1.0000,3,O, 
19,36,N (N),6,N,Y,0.5555,1.0000,3,O, 
20,36,N (N),6,N,Y,0.5407,0.9736,3,O, 
21,36,N (N),6,N,Y,0.5079,0.8611,3,O, 
22,36,N (N),6,N,Y,0.4642,0.9722,2,O, 
23,36,N (N),6,N,Y,0.4259,0.9736,2,O, 
24,36,N (N),6,N,Y,0.4087,0.9722,2,O, 
25,36,N (N),6,N,Y,0.3407,1.0000,2,O, 
26,36,N (N),6,N,Y,0.3174,1.0000,2,O, 
27,36,N (N),6,N,Y,0.3111,1.0000,2,O, 
28,36,N (N),6,N,Y,0.2976,1.0000,2,O, 
29,36,N (N),6,N,Y,0.2936,1.0000,2,O, 
30,36,N (N),6,N,Y,0.2698,1.0000,2,O, 
31,36,N (N),6,N,Y,0.2579,0.8611,2,O, 
32,36,N (N),6,N,Y,0.2539,0.8888,2,O, 
33,36,N (N),6,N,Y,0.2261,0.6388,2,O, 
34,36,N (N),5,N,Y,0.4404,1.0000,2,O, 
35,36,N (N),4,N,Y,0.3095,1.0000,2,O, 
36,36,N (N),3,Y,Y,0.9428,0.6315,4,O, 
37,35,N (N),6,Y,Y,1.0000,0.7894,4,O, 
38,35,N (N),6,N,Y,0.8071,1.0000,4,O, 
39,35,N (N),6,N,Y,0.2857,1.0000,2,O, 
40,35,N (N),5,N,Y,0.5392,0.9210,3,O, 
41,35,N (N),4,N,Y,0.8333,0.6666,4,O, 
42,32,N (N),6,N,Y,0.5634,1.0000,3,O, 
