순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9111,0.7894,4,O, 
1,36,N (N),6,Y,Y,0.9111,0.7894,4,O, 
2,36,N (N),6,N,Y,0.6285,1.0000,3,O, 
3,36,N (N),6,N,Y,0.5500,1.0000,3,O, 
4,36,N (N),6,N,Y,0.4928,0.7631,3,O, 
5,36,N (N),5,N,Y,0.3821,0.4736,3,O, 
6,32,N (N),6,N,Y,0.6740,0.8947,4,O, 
7,30,N (N),6,N,Y,0.5785,1.0000,3,O, 
8,30,N (N),3,Y,Y,1.0000,0.8333,4,O, 
9,28,N (N),6,N,Y,0.3857,0.9736,2,O, 
10,28,N (N),4,N,Y,0.8296,0.7894,4,O, 
11,24,N (N),6,N,Y,0.5000,0.8881,3,O, 
12,18,N (N),6,N,Y,0.5428,0.8157,3,O, 
13,17,N (N),6,N,Y,0.4250,0.9210,2,O, 
14,14,N (N),6,N,Y,0.5714,1.0000,3,O, 
15,14,N (N),6,N,Y,0.3015,1.0000,2,O, 
16,12,N (N),6,N,Y,0.5333,0.9210,3,O, 
17,12,N (N),6,N,Y,0.2460,0.7777,2,O, 
18,12,N (N),3,N,Y,0.5357,0.8611,3,O, 
19,11,N (N),6,N,Y,0.3037,0.9473,2,O, 
20,10,N (N),6,N,Y,0.8000,0.9473,4,O, 
21,10,N (N),6,N,Y,0.7555,1.0000,4,O, 
22,10,N (N),6,N,Y,0.3015,1.0000,2,O, 
23,10,N (N),5,N,Y,0.2333,0.7631,2,O, 
24,9,N (N),6,N,Y,0.2888,0.7105,2,O, 
25,9,N (N),6,N,Y,0.2777,0.8888,2,O, 
26,8,N (N),6,N,Y,0.3037,1.0000,2,O, 
27,8,N (N),5,N,Y,0.2301,0.7500,2,O, 
28,7,N (N),6,Y,Y,0.8968,1.0000,4,O, 
29,6,N (N),6,N,Y,0.7851,1.0000,4,O, 
30,6,N (N),6,N,Y,0.7851,0.6315,4,O, 
31,6,N (N),6,N,Y,0.2777,0.8888,2,O, 
32,6,N (N),5,N,N,0.9761,1.0000,4,O, 
33,5,N (N),6,Y,N,0.9365,1.0000,4,O, 
34,5,N (N),6,N,Y,0.5555,0.9736,3,O, 
35,5,N (N),6,N,Y,0.5037,0.9736,3,O, 
36,5,N (N),6,N,Y,0.2592,0.7894,2,O, 
37,4,N (N),6,N,Y,0.2370,0.8421,2,O, 
38,3,N (N),6,Y,Y,0.9259,1.0000,4,O, 
39,3,N (N),6,N,Y,0.8730,0.6666,4,O, 
40,3,N (N),6,N,Y,0.5392,0.9473,3,O, 
41,3,N (N),6,N,Y,0.3095,1.0000,2,O, 
42,3,N (N),6,N,Y,0.3095,1.0000,2,O, 
43,3,N (N),6,N,Y,0.3015,1.0000,2,O, 
44,3,N (N),6,N,Y,0.2629,0.7631,2,O, 
45,3,N (N),6,N,Y,0.2592,0.7368,2,O, 
46,3,N (N),6,N,Y,0.2518,0.8947,2,O, 
47,2,N (N),6,N,Y,0.4166,0.8611,2,O, 
48,2,N (N),6,N,Y,0.3703,0.7105,2,O, 
49,2,N (N),6,N,Y,0.2814,0.9473,2,O, 
50,2,N (N),6,N,Y,0.2785,1.0000,2,O, 
51,2,N (N),6,N,Y,0.2666,0.8421,2,O, 
52,2,N (N),6,N,Y,0.2592,0.9473,2,O, 
53,2,N (N),6,N,Y,0.2481,0.8947,2,O, 
54,2,N (N),6,N,Y,0.2460,0.8055,2,O, 
55,2,N (N),6,N,Y,0.2370,0.9473,2,O, 
56,2,N (N),6,N,Y,0.2370,0.8421,2,O, 
57,2,N (N),5,N,Y,0.8253,0.8333,4,O, 
58,1,N (N),6,Y,Y,0.9761,0.8333,4,O, 
59,1,N (N),6,Y,N,0.9481,0.9473,4,O, 
60,1,N (N),6,N,Y,0.8730,1.0000,4,O, 
61,1,N (N),6,N,Y,0.8370,1.0000,4,O, 
62,1,N (N),6,N,Y,0.8285,1.0000,4,O, 
63,1,N (N),6,N,Y,0.8138,0.9736,4,O, 
64,1,N (N),6,N,Y,0.8000,1.0000,4,O, 
65,1,N (N),6,N,Y,0.7785,0.9473,4,O, 
66,1,N (N),6,N,Y,0.7324,1.0000,3,O, 
67,1,N (N),6,N,Y,0.6703,0.8421,3,O, 
68,1,N (N),6,N,Y,0.5703,0.9736,3,O, 
69,1,N (N),6,N,Y,0.5642,0.9736,3,O, 
70,1,N (N),6,N,Y,0.5370,0.9473,3,O, 
71,1,N (N),6,N,Y,0.5296,0.7894,3,O, 
72,1,N (N),6,N,Y,0.5259,1.0000,3,O, 
73,1,N (N),6,N,Y,0.5259,0.9736,3,O, 
74,1,N (N),6,N,Y,0.5259,0.8684,3,O, 
75,1,N (N),6,N,Y,0.5214,0.9736,3,O, 
76,1,N (N),6,N,Y,0.5214,0.9736,3,O, 
77,1,N (N),6,N,Y,0.5158,0.8611,3,O, 
78,1,N (N),6,N,Y,0.5000,0.8881,3,O, 
79,1,N (N),6,N,Y,0.4964,0.8157,3,O, 
80,1,N (N),6,N,Y,0.4962,0.8157,3,O, 
81,1,N (N),6,N,Y,0.4928,0.9736,3,O, 
82,1,N (N),6,N,Y,0.4464,0.9736,3,O, 
83,1,N (N),6,N,Y,0.4285,0.6578,3,O, 
84,1,N (N),6,N,Y,0.4087,1.0000,2,O, 
85,1,N (N),6,N,Y,0.4037,0.8157,2,O, 
86,1,N (N),6,N,Y,0.4035,0.9736,2,O, 
87,1,N (N),6,N,Y,0.3925,0.8947,2,O, 
88,1,N (N),6,N,Y,0.3730,0.9166,2,O, 
89,1,N (N),6,N,Y,0.3629,0.6578,2,O, 
90,1,N (N),6,N,Y,0.3253,1.0000,2,O, 
91,1,N (N),6,N,Y,0.3174,1.0000,2,O, 
92,1,N (N),6,N,Y,0.3142,1.0000,2,O, 
93,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
94,1,N (N),6,N,Y,0.3037,0.7368,2,O, 
95,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
96,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
97,1,N (N),6,N,Y,0.2888,0.8421,2,O, 
98,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
99,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
100,1,N (N),6,N,Y,0.2777,1.0000,2,O, 
101,1,N (N),6,N,Y,0.2777,1.0000,2,O, 
102,1,N (N),6,N,Y,0.2740,0.8157,2,O, 
103,1,N (N),6,N,Y,0.2714,0.9473,2,O, 
104,1,N (N),6,N,Y,0.2714,0.9473,2,O, 
105,1,N (N),6,N,Y,0.2698,0.8888,2,O, 
106,1,N (N),6,N,Y,0.2666,1.0000,2,O, 
107,1,N (N),6,N,Y,0.2666,1.0000,2,O, 
108,1,N (N),6,N,Y,0.2666,0.8421,2,O, 
109,1,N (N),6,N,Y,0.2666,0.8421,2,O, 
110,1,N (N),6,N,Y,0.2629,0.9736,2,O, 
111,1,N (N),6,N,Y,0.2619,0.7777,2,O, 
112,1,N (N),6,N,Y,0.2592,0.7894,2,O, 
113,1,N (N),6,N,Y,0.2579,0.8611,2,O, 
114,1,N (N),6,N,Y,0.2444,0.7894,2,O, 
115,1,N (N),6,N,Y,0.2370,0.7631,2,O, 
116,1,N (N),6,N,Y,0.2222,0.7368,2,O, 
117,1,N (N),5,Y,Y,0.9555,0.8421,4,O, 
118,1,N (N),5,Y,Y,0.9357,1.0000,4,O, 
119,1,N (N),5,Y,Y,0.9111,0.9473,4,O, 
120,1,N (N),5,Y,Y,0.8888,0.6666,4,O, 
121,1,N (N),5,N,Y,0.8412,1.0000,4,O, 
122,1,N (N),4,N,Y,0.8740,0.7894,4,O, 
0,12,N (N),6,N,Y,0.8518,0.1578,4,O,* 
