순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.8730,0.8333,4,O, 
1,36,N (N),6,N,Y,0.8730,0.8333,4,O, 
2,36,N (N),6,N,Y,0.4857,0.9473,3,O, 
3,36,N (N),6,N,Y,0.2777,1.0000,2,O, 
4,33,N (N),6,N,Y,0.2666,0.8947,2,O, 
5,30,N (N),6,N,Y,0.2571,1.0000,2,O, 
6,25,N (N),6,N,Y,0.5071,1.0000,3,O, 
7,25,N (N),4,Y,Y,0.9142,0.6842,4,O, 
8,24,N (N),6,N,Y,0.3849,0.5277,2,O, 
9,24,N (N),6,N,Y,0.2407,0.6842,2,O, 
10,22,N (N),6,N,Y,0.5407,0.8157,3,O, 
11,22,N (N),6,N,Y,0.2571,0.8421,2,O, 
12,22,N (N),6,N,Y,0.2500,0.8888,2,O, 
13,21,N (N),6,N,Y,0.2814,1.0000,2,O, 
14,20,N (N),6,N,Y,0.3185,0.9473,2,O, 
15,20,N (N),6,N,Y,0.2857,1.0000,2,O, 
16,20,N (N),3,N,Y,0.7500,1.0000,4,O, 
17,17,N (N),6,Y,Y,0.8888,0.9473,4,O, 
18,17,N (N),6,N,Y,0.2857,1.0000,2,O, 
19,15,N (N),6,N,Y,0.5000,0.8881,3,O, 
20,15,N (N),6,N,Y,0.2857,1.0000,2,O, 
21,15,N (N),5,Y,Y,0.8518,0.7894,4,O, 
22,14,N (N),6,N,Y,0.7928,1.0000,4,O, 
23,14,N (N),6,N,Y,0.2629,0.8421,2,O, 
24,14,N (N),6,N,Y,0.1925,0.8157,2,O, 
25,13,N (N),6,N,Y,0.7380,1.0000,4,O, 
26,13,N (N),6,N,Y,0.4007,0.8611,2,O, 
27,13,N (N),6,N,Y,0.2857,1.0000,2,O, 
28,13,N (N),6,N,Y,0.2259,0.8684,2,O, 
29,13,N (N),6,N,Y,0.2259,0.7105,2,O, 
30,12,N (N),6,N,Y,0.6746,1.0000,3,O, 
31,12,N (N),6,N,Y,0.3333,1.0000,2,O, 
32,12,N (N),6,N,Y,0.3037,1.0000,2,O, 
33,12,N (N),6,N,Y,0.3015,1.0000,2,O, 
34,10,N (N),6,N,Y,0.5481,0.9736,3,O, 
35,10,N (N),6,N,Y,0.2928,0.9736,2,O, 
36,10,N (N),6,N,Y,0.2857,1.0000,2,O, 
37,10,N (N),6,N,Y,0.2666,0.8421,2,O, 
38,10,N (N),6,N,Y,0.2428,0.8947,2,O, 
39,10,N (N),6,N,Y,0.2380,0.8888,2,O, 
40,9,N (N),6,N,Y,0.3650,0.4444,2,O, 
41,9,N (N),6,N,N,0.4148,0.3157,4,O, 
42,8,N (N),6,N,Y,0.8074,0.7894,4,O, 
43,8,N (N),6,N,Y,0.2857,1.0000,2,O, 
44,8,N (N),6,N,N,0.5407,1.0000,3,O, 
45,8,N (N),5,N,Y,0.2936,1.0000,2,O, 
46,7,N (N),6,N,Y,0.2936,1.0000,2,O, 
47,7,N (N),6,N,Y,0.2698,1.0000,2,O, 
48,7,N (N),6,N,Y,0.2619,0.8333,2,O, 
49,7,N (N),6,N,Y,0.2579,0.8611,2,O, 
50,7,N (N),6,N,Y,0.2341,0.6666,2,O, 
51,6,N (N),6,N,Y,0.2888,1.0000,2,O, 
52,6,N (N),6,N,Y,0.2814,0.9473,2,O, 
53,6,N (N),6,N,Y,0.2785,0.8421,2,O, 
54,6,N (N),6,N,Y,0.2714,1.0000,2,O, 
55,6,N (N),6,N,Y,0.2698,0.8333,2,O, 
56,6,N (N),6,N,Y,0.2500,0.7894,2,O, 
57,6,N (N),6,N,Y,0.2333,0.7105,2,O, 
