순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,0.9473,4,O, 
1,36,N (N),6,Y,Y,1.0000,0.9473,4,O, 
2,36,N (N),6,N,Y,0.8000,1.0000,4,O, 
3,36,N (N),6,N,Y,0.7851,0.9473,4,O, 
4,36,N (N),6,N,Y,0.5500,1.0000,3,O, 
5,36,N (N),6,N,Y,0.5285,1.0000,3,O, 
6,36,N (N),6,N,Y,0.2539,1.0000,2,O, 
7,36,N (N),6,N,Y,0.1984,0.6666,2,O, 
8,36,N (N),5,N,Y,0.7678,0.9473,4,O, 
9,36,N (N),3,Y,N,1.0000,1.0000,4,O, 
10,36,N (N),1,Y,N,1.0000,0.8333,4,O, 
11,35,N (N),6,Y,N,1.0000,0.9473,4,O, 
12,35,N (N),6,N,Y,0.8571,1.0000,4,O, 
13,35,N (N),2,Y,Y,1.0000,0.9736,4,O, 
14,33,N (N),6,N,Y,0.8650,0.6666,4,O, 
15,33,N (N),6,N,Y,0.5428,1.0000,3,O, 
16,32,N (N),6,N,Y,0.6740,0.7368,3,O, 
17,32,N (N),6,N,Y,0.3214,1.0000,2,O, 
18,32,N (N),6,N,Y,0.2785,1.0000,2,O, 
19,31,N (N),6,N,Y,0.2928,1.0000,2,O, 
20,31,N (N),6,N,Y,0.2539,0.8888,2,O, 
21,30,N (N),6,N,Y,0.5000,0.8881,3,O, 
22,27,N (N),6,N,Y,0.6964,0.8947,4,O, 
23,26,N (N),6,N,Y,0.3253,1.0000,2,O, 
24,26,N (N),6,N,Y,0.3000,1.0000,2,O, 
25,26,N (N),6,N,Y,0.2962,1.0000,2,O, 
26,24,N (N),6,N,Y,0.8285,1.0000,4,O, 
27,24,N (N),6,N,Y,0.3037,1.0000,2,O, 
28,22,N (N),6,Y,Y,0.9071,1.0000,4,O, 
29,22,N (N),6,N,Y,0.2740,0.8947,2,O, 
30,22,N (N),5,N,N,0.8666,0.9473,4,O, 
31,21,N (N),6,N,Y,0.2777,1.0000,2,O, 
32,21,N (N),6,N,Y,0.2698,1.0000,2,O, 
33,21,N (N),5,Y,Y,0.9142,0.9473,4,O, 
34,20,N (N),6,N,Y,0.6626,0.9166,3,O, 
35,20,N (N),6,N,Y,0.2666,1.0000,2,O, 
36,18,N (N),6,N,Y,0.6592,0.9473,3,O, 
37,18,N (N),6,N,Y,0.2962,1.0000,2,O, 
38,17,N (N),6,Y,Y,0.8857,0.1578,4,O, 
39,17,N (N),6,N,Y,0.3690,0.8611,2,O, 
40,17,N (N),6,N,Y,0.3253,1.0000,2,O, 
41,17,N (N),6,N,Y,0.2785,1.0000,2,O, 
42,17,N (N),5,N,Y,0.2888,1.0000,2,O, 
43,16,N (N),6,N,Y,0.5535,1.0000,3,O, 
44,16,N (N),6,N,Y,0.3185,1.0000,2,O, 
45,16,N (N),6,N,Y,0.3095,1.0000,2,O, 
46,16,N (N),6,N,Y,0.2936,1.0000,2,O, 
47,16,N (N),4,Y,Y,0.9111,1.0000,4,O, 
48,15,N (N),6,Y,Y,0.8571,0.7894,4,O, 
49,15,N (N),6,N,Y,0.8492,1.0000,4,O, 
50,15,N (N),6,N,Y,0.5515,1.0000,3,O, 
51,15,N (N),6,N,Y,0.3095,1.0000,2,O, 
52,15,N (N),6,N,Y,0.3055,0.9722,2,O, 
53,15,N (N),6,N,Y,0.2925,1.0000,2,O, 
54,15,N (N),6,N,Y,0.2857,1.0000,2,O, 
55,15,N (N),6,N,Y,0.2817,1.0000,2,O, 
56,15,N (N),6,N,Y,0.2592,0.7894,2,O, 
57,14,N (N),6,N,Y,0.5912,0.8611,3,O, 
58,14,N (N),6,N,Y,0.3095,1.0000,2,O, 
59,14,N (N),6,N,Y,0.2857,1.0000,2,O, 
60,14,N (N),6,N,Y,0.2407,0.8157,2,O, 
61,14,N (N),6,N,N,0.7539,1.0000,4,O, 
62,13,N (N),6,N,Y,0.3412,0.9444,2,O, 
63,13,N (N),6,N,Y,0.3185,1.0000,2,O, 
64,13,N (N),6,N,Y,0.3174,1.0000,2,O, 
65,13,N (N),6,N,Y,0.3000,1.0000,2,O, 
66,13,N (N),6,N,Y,0.2698,0.8888,2,O, 
67,13,N (N),6,N,Y,0.2619,0.8888,2,O, 
68,13,N (N),6,N,Y,0.2500,0.8157,2,O, 
