순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,N (N),6,Y,Y,0.8888,1.0000,4,O, 
1,18,N (N),6,Y,Y,0.8888,1.0000,4,O, 
2,18,N (N),6,N,Y,0.9682,1.0000,4,O, 
3,18,N (N),6,N,Y,0.8809,1.0000,4,O, 
4,18,N (N),6,N,Y,0.8074,0.8157,4,O, 
5,18,N (N),6,N,Y,0.7629,1.0000,3,O, 
6,18,N (N),6,N,Y,0.7539,1.0000,3,O, 
7,18,N (N),6,N,Y,0.6666,0.6944,3,O, 
8,18,N (N),6,N,Y,0.6481,0.9736,3,O, 
9,18,N (N),6,N,Y,0.5592,1.0000,2,O, 
10,18,N (N),6,N,Y,0.4777,1.0000,2,O, 
11,18,N (N),6,N,Y,0.4629,0.8684,2,O, 
12,18,N (N),6,N,Y,0.4555,0.9736,2,O, 
13,18,N (N),6,N,Y,0.4333,0.9736,2,O, 
14,18,N (N),6,N,Y,0.4074,1.0000,2,O, 
15,18,N (N),6,N,Y,0.3814,0.8684,2,O, 
16,18,N (N),6,N,Y,0.2740,1.0000,2,O, 
17,18,N (N),5,N,Y,0.2407,0.8947,2,O, 
18,18,N (N),4,N,Y,0.5666,0.4736,3,O, 
19,16,N (N),6,N,Y,0.6587,0.8333,3,O, 
20,15,N (N),6,N,Y,0.3259,0.8684,2,O, 
21,14,N (N),6,N,Y,0.5851,0.9736,3,O, 
22,14,N (N),6,N,Y,0.5666,1.0000,3,O, 
23,13,N (N),6,N,Y,0.5074,0.9736,3,O, 
24,13,N (N),6,N,N,0.7481,0.7894,4,O, 
25,12,N (N),6,N,Y,0.8888,1.0000,4,O, 
26,12,N (N),6,N,Y,0.4037,0.9210,2,O, 
27,11,N (N),6,N,Y,0.4404,0.6944,2,O, 
28,11,N (N),6,N,Y,0.2407,0.8947,2,O, 
29,10,N (N),6,N,Y,0.8000,1.0000,4,O, 
30,10,N (N),6,N,Y,0.7037,0.9473,3,O, 
31,10,N (N),6,N,Y,0.6370,0.8421,3,O, 
32,10,N (N),6,N,Y,0.5296,0.6315,3,O, 
33,10,N (N),6,N,Y,0.4333,1.0000,2,O, 
34,10,N (N),6,N,Y,0.3740,1.0000,2,O, 
35,10,N (N),6,N,Y,0.3444,0.8684,3,O, 
36,10,N (N),6,N,Y,0.2518,0.8947,2,O, 
37,9,N (N),6,N,Y,0.8444,0.8421,4,O, 
38,9,N (N),6,N,Y,0.4333,0.9736,2,O, 
39,8,N (N),6,N,Y,0.2740,0.9473,2,O, 
40,7,N (N),6,N,Y,0.7063,1.0000,3,O, 
41,7,N (N),6,N,Y,0.5148,0.8421,3,X, 
42,5,N (N),6,N,Y,0.9880,0.8809,4,X, 
43,5,N (N),6,N,Y,0.5851,0.7894,3,X, 
44,5,N (N),6,N,Y,0.5259,0.9736,3,X, 
45,4,N (N),6,N,Y,0.5000,1.0000,3,X, 
46,3,N (N),6,N,Y,0.3888,0.8684,2,X, 
47,1,N (N),6,Y,Y,0.9761,1.0000,4,X, 
48,1,N (N),6,N,Y,0.6666,1.0000,3,X, 
