순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,Y,Y,0.8962,0.9473,4,O, 
1,12,N (N),6,Y,Y,0.8962,0.9473,4,O, 
2,12,N (N),6,Y,Y,0.8888,0.6842,4,O, 
3,12,N (N),6,N,Y,0.4592,0.8157,3,O, 
4,10,N (N),4,N,Y,0.5000,0.9375,3,O, 
5,8,N (N),6,N,Y,0.3740,0.8684,2,O, 
6,7,N (N),6,N,Y,0.5592,0.8157,3,O, 
7,7,N (N),6,N,Y,0.4074,0.9736,2,O, 
8,3,N (N),6,N,Y,0.5037,0.9473,3,O, 
9,3,N (N),6,N,Y,0.3370,0.9473,2,O, 
10,1,N (N),6,N,Y,0.8435,0.7894,4,O, 
11,1,N (N),6,N,Y,0.4185,0.9210,2,O, 
12,1,N (N),6,N,N,0.7777,0.7894,4,O, 
