순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,22,N (N),6,N,Y,0.7214,0.7894,3,O, 
1,22,N (N),6,N,Y,0.7214,0.7894,3,O, 
2,20,N (N),6,N,Y,0.7500,0.8750,4,O, 
3,20,N (N),5,N,Y,0.4111,0.8157,2,O, 
4,20,N (N),4,N,Y,0.6740,0.9473,3,O, 
5,12,N (N),4,N,Y,0.7500,0.8750,4,O, 
6,7,N (N),6,N,Y,0.5296,0.6578,3,O, 
7,5,N (N),3,Y,Y,0.9777,1.0000,4,O, 
8,1,N (N),6,Y,Y,0.9259,0.9473,4,O, 
9,1,N (N),6,N,Y,0.7629,0.7894,4,O, 
10,1,N (N),6,N,Y,0.4555,1.0000,2,O, 
11,1,N (N),6,N,Y,0.4185,0.9736,2,O, 
12,1,N (N),6,N,Y,0.4185,0.9736,2,O, 
