순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,Y,0.8571,1.0000,4,O, 
1,12,N (N),6,N,Y,0.8571,1.0000,4,O, 
2,12,N (N),6,N,Y,0.7777,0.9736,4,O, 
3,12,N (N),6,N,Y,0.5851,0.7894,4,O, 
4,12,N (N),6,N,Y,0.5000,0.8881,3,O, 
5,12,N (N),6,N,Y,0.4703,0.9736,3,O, 
6,12,N (N),6,N,Y,0.3333,1.0000,2,O, 
7,12,N (N),5,N,Y,0.6740,0.9473,3,O, 
8,12,N (N),5,N,Y,0.2666,0.8684,2,O, 
9,10,N (N),6,N,Y,0.5000,0.8881,3,O, 
10,10,N (N),6,N,Y,0.3185,1.0000,2,O, 
11,10,N (N),6,N,Y,0.2888,1.0000,2,O, 
12,10,N (N),6,N,Y,0.2814,0.9736,2,O, 
13,10,N (N),6,N,Y,0.2740,0.9473,2,O, 
14,10,N (N),5,N,Y,0.5555,0.9736,3,O, 
15,9,N (N),6,N,Y,0.2962,1.0000,2,O, 
16,9,N (N),6,N,Y,0.2814,1.0000,2,O, 
17,9,N (N),6,N,Y,0.2740,1.0000,2,O, 
18,8,N (N),6,N,Y,0.3333,1.0000,2,O, 
19,8,N (N),6,N,Y,0.3037,1.0000,2,O, 
20,8,N (N),6,N,Y,0.2888,1.0000,2,O, 
21,8,N (N),6,N,Y,0.2851,0.9736,2,O, 
22,8,N (N),6,N,Y,0.2740,1.0000,2,O, 
23,7,N (N),6,N,Y,0.2962,1.0000,2,O, 
24,7,N (N),6,N,Y,0.2888,1.0000,2,O, 
25,7,N (N),6,N,Y,0.2888,1.0000,2,O, 
26,7,N (N),6,N,Y,0.2888,1.0000,2,O, 
27,7,N (N),6,N,Y,0.2740,1.0000,2,O, 
28,6,N (N),6,N,Y,0.2962,1.0000,2,O, 
29,6,N (N),6,N,Y,0.2888,1.0000,2,O, 
30,6,N (N),6,N,Y,0.2740,1.0000,2,O, 
31,5,N (N),6,N,Y,0.6904,0.8888,3,O, 
32,5,N (N),6,N,Y,0.5037,0.9736,3,O, 
33,5,N (N),6,N,Y,0.3111,1.0000,2,O, 
34,3,N (N),6,N,Y,0.3814,1.0000,2,O, 
