순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.2296,0.8157,2,O, 
1,36,N (N),6,N,Y,0.2296,0.8157,2,O, 
2,20,N (N),6,N,Y,0.8074,0.9473,4,O, 
3,20,N (N),4,N,Y,0.9185,0.7894,4,O, 
4,16,N (N),6,N,Y,0.5259,0.3684,3,O, 
5,10,N (N),6,N,Y,0.2444,0.8684,2,O, 
6,10,N (N),6,N,Y,0.2370,0.9473,2,O, 
7,8,N (N),6,N,Y,0.7629,0.8421,4,O, 
8,8,N (N),6,N,Y,0.2666,1.0000,2,O, 
9,7,N (N),6,N,Y,0.8435,0.9473,4,O, 
10,6,N (N),6,N,Y,0.7759,0.9473,4,O, 
11,5,N (N),6,N,Y,0.2888,1.0000,2,O, 
12,5,N (N),6,N,Y,0.2370,0.7105,2,O, 
13,5,N (N),6,N,N,0.8592,0.9473,4,O, 
14,4,N (N),6,N,Y,0.2666,0.9473,2,O, 
15,4,N (N),6,N,Y,0.2444,0.8421,2,O, 
16,3,N (N),6,Y,Y,0.8740,0.7894,4,O, 
17,3,N (N),6,N,Y,0.3481,0.7894,2,O, 
18,3,N (N),6,N,Y,0.2740,1.0000,2,O, 
19,2,N (N),6,N,Y,0.5518,1.0000,3,O, 
20,2,N (N),6,N,Y,0.3851,0.6842,2,O, 
21,2,N (N),6,N,Y,0.2222,0.8421,2,O, 
22,1,N (N),6,Y,Y,0.8888,1.0000,4,O, 
23,1,N (N),6,N,Y,0.6814,1.0000,3,O, 
24,1,N (N),6,N,Y,0.2666,0.8947,2,O, 
25,1,N (N),6,N,Y,0.2444,0.8421,2,O, 
26,1,N (N),6,N,N,0.9703,1.0000,4,O, 
