순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,N (N),6,N,Y,0.5370,1.0000,3,O, 
1,18,N (N),6,N,Y,0.5370,1.0000,3,O, 
2,16,N (N),6,Y,Y,0.8666,0.9473,4,O, 
3,14,N (N),6,N,Y,0.7185,0.9473,4,O, 
4,12,N (N),6,N,Y,0.4481,0.9210,2,O, 
5,11,N (N),6,Y,Y,0.8666,0.8947,4,O, 
6,10,N (N),6,N,Y,0.5518,0.9473,3,O, 
7,10,N (N),6,N,Y,0.5000,0.9375,3,O, 
8,8,N (N),6,N,Y,0.6148,0.9736,3,O, 
9,5,N (N),5,N,Y,0.7500,1.0000,4,O, 
10,3,N (N),6,N,Y,0.8259,0.9473,4,O, 
11,2,N (N),6,Y,Y,0.8962,0.7894,4,O, 
12,1,N (N),6,N,Y,0.9629,0.7894,4,O, 
13,1,N (N),6,N,Y,0.7500,0.8750,4,O, 
14,1,N (N),6,N,Y,0.7111,0.9473,3,O, 
15,1,N (N),6,N,Y,0.6746,0.8333,3,O, 
16,1,N (N),6,N,Y,0.6074,1.0000,3,O, 
17,1,N (N),6,N,Y,0.5481,1.0000,3,O, 
