순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
1,36,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
2,36,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
3,36,Y (N),6,Y,Y,1.0000,0.4444,4,O, 
4,36,Y (N),6,N,Y,0.6587,0.8333,3,O, 
5,36,Y (Y),2,Y,Y,0.9481,0.6315,4,O, 
6,33,Y (N),6,N,Y,0.7380,1.0000,3,O, 
7,32,N (N),6,N,Y,0.7703,0.9473,4,O, 
8,30,Y (Y),6,N,Y,0.5703,0.7631,3,O, 
9,28,Y (Y),6,N,Y,0.5666,0.9473,3,O, 
10,27,Y (Y),6,N,Y,0.5259,0.9736,3,O, 
11,26,Y (Y),6,N,Y,0.5185,0.6315,3,O, 
12,25,Y (N),6,Y,Y,1.0000,0.9473,4,O, 
13,25,N (N),5,Y,Y,0.9185,0.9473,4,O, 
14,23,Y (Y),6,N,Y,0.8222,1.0000,4,O, 
15,23,Y (N),6,N,Y,0.7481,0.7894,4,O, 
16,23,Y (Y),6,N,Y,0.7111,0.9473,3,O, 
17,22,Y (Y),6,Y,Y,0.8888,0.9473,4,O, 
18,21,Y (Y),6,Y,Y,0.9333,0.9473,4,O, 
19,20,Y (Y),6,N,Y,0.7407,0.9473,3,O, 
20,20,Y (Y),4,N,Y,0.4592,0.5526,3,O, 
21,20,N (N),6,N,Y,0.8492,0.8333,4,O, 
22,19,Y (Y),6,N,Y,0.6074,1.0000,3,O, 
23,19,Y (Y),5,N,Y,0.7629,0.8684,4,O, 
24,18,Y (N),6,Y,Y,0.9603,0.8333,4,O, 
25,16,Y (N),6,Y,Y,0.9047,1.0000,4,X, 
26,15,Y (Y),6,N,Y,0.7333,1.0000,3,O, 
27,15,Y (Y),5,Y,Y,0.8888,0.9736,4,O, 
28,14,Y (N),6,N,Y,0.7142,1.0000,3,X, 
29,14,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
30,13,Y (N),6,N,Y,0.8531,1.0000,4,X, 
31,13,Y (Y),6,N,Y,0.4111,1.0000,2,O, 
32,12,Y (Y),6,N,Y,0.6592,0.9473,3,O, 
33,12,Y (Y),6,N,Y,0.5740,0.8421,3,O, 
34,12,Y (Y),6,N,Y,0.4111,1.0000,2,O, 
35,10,Y (Y),6,Y,Y,0.8666,0.8947,4,O, 
36,10,Y (Y),6,N,Y,0.6037,0.7894,3,O, 
37,10,Y (Y),6,N,Y,0.3962,1.0000,2,O, 
38,9,Y (N),6,N,Y,0.4642,1.0000,2,X, 
39,7,Y (N),6,N,Y,0.4801,1.0000,2,X, 
40,6,Y (Y),6,N,Y,0.4333,0.9736,2,O, 
41,5,Y (Y),6,N,Y,0.8537,1.0000,4,X, 
42,5,Y (Y),6,N,Y,0.7185,0.6315,4,X, 
43,3,Y (Y),6,N,Y,0.7777,1.0000,4,X, 
44,3,Y (Y),6,N,Y,0.4333,0.8157,2,X, 
45,3,N (N),6,N,Y,0.7500,0.9473,4,X, 
46,2,Y (Y),6,Y,Y,0.9185,1.0000,4,X, 
47,1,Y (Y),6,N,Y,0.8074,1.0000,4,X, 
