순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,28,Y (Y),6,N,Y,0.8296,1.0000,4,O, 
1,28,Y (Y),6,N,Y,0.8296,1.0000,4,O, 
2,27,Y (N),6,N,Y,0.7333,0.6842,3,O, 
3,24,Y (Y),5,N,Y,0.4814,0.7631,3,O, 
4,22,Y (Y),6,Y,Y,0.8148,0.6842,4,O, 
5,21,Y (Y),6,N,Y,0.4481,0.9736,2,O, 
6,20,Y (Y),6,N,Y,0.6666,0.7894,3,O, 
7,19,Y (Y),5,Y,Y,1.0000,0.9473,4,O, 
8,18,Y (Y),6,N,Y,0.6222,0.8684,3,O, 
9,15,Y (N),6,Y,Y,0.9111,0.7894,4,O, 
10,15,Y (N),4,Y,Y,0.9682,1.0000,4,O, 
11,15,N (N),6,N,Y,0.6444,0.7894,3,O, 
12,14,Y (Y),6,N,Y,0.6962,0.7894,4,O, 
13,14,Y (Y),6,N,Y,0.4333,0.9736,2,O, 
14,13,Y (N),6,Y,Y,0.8592,0.9473,4,O, 
15,13,Y (Y),6,N,Y,0.5851,0.7894,3,O, 
16,13,Y (Y),6,N,Y,0.4333,0.8157,2,O, 
17,12,Y (Y),4,Y,Y,0.9185,0.9473,4,O, 
18,11,Y (Y),6,Y,Y,0.8962,0.8157,4,O, 
19,11,Y (Y),6,N,Y,0.7111,0.9473,3,O, 
20,11,Y (Y),6,N,Y,0.6444,0.9473,3,O, 
21,11,Y (Y),6,N,Y,0.6259,0.9736,3,O, 
22,11,Y (Y),6,N,Y,0.4814,0.8684,2,O, 
23,11,Y (Y),6,N,Y,0.4259,0.8684,2,O, 
24,10,Y (N),6,Y,Y,0.8666,0.8947,4,O, 
25,10,Y (Y),6,N,Y,0.5962,0.9473,3,O, 
26,10,Y (Y),6,N,Y,0.5518,0.9473,3,O, 
27,10,Y (Y),6,N,N,0.8000,0.9473,4,O, 
28,9,Y (Y),6,N,Y,0.7703,1.0000,4,O, 
29,9,Y (Y),6,N,Y,0.4629,1.0000,2,O, 
30,8,Y (Y),6,N,Y,0.7851,0.9473,4,O, 
31,8,Y (Y),6,N,Y,0.6555,1.0000,3,O, 
32,8,Y (Y),6,N,Y,0.6444,0.8157,3,O, 
33,8,Y (Y),6,N,Y,0.4111,0.9736,2,O, 
34,8,Y (Y),6,N,Y,0.2888,0.8421,2,O, 
35,7,Y (Y),6,N,Y,0.6407,0.9473,3,O, 
36,7,Y (Y),6,N,Y,0.4333,1.0000,2,O, 
37,6,Y (N),6,N,Y,0.8015,1.0000,4,O, 
38,6,Y (Y),6,N,Y,0.6888,1.0000,3,O, 
39,6,Y (Y),6,N,Y,0.6592,0.8421,3,O, 
40,6,Y (Y),6,N,Y,0.6407,0.6315,3,O, 
41,6,Y (Y),6,N,Y,0.4481,1.0000,2,X, 
42,6,Y (Y),6,N,Y,0.4111,0.8684,2,X, 
43,6,N (N),6,N,Y,0.8174,1.0000,4,X, 
44,5,Y (Y),6,N,Y,0.6518,0.9473,3,X, 
45,5,Y (Y),6,N,Y,0.4407,0.8684,2,X, 
46,5,Y (Y),6,N,Y,0.4037,0.9736,2,X, 
47,2,Y (Y),6,N,Y,0.6740,0.9736,3,X, 
