순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.6518,0.8157,4,O, 
1,36,Y (Y),6,N,Y,0.6518,0.8157,4,O, 
2,36,Y (Y),1,Y,Y,1.0000,0.9473,4,O, 
3,30,Y (Y),3,Y,Y,1.0000,0.7894,4,O, 
4,25,Y (Y),3,Y,Y,0.7259,0.4210,4,O, 
5,15,Y (Y),6,N,Y,0.8222,0.9473,4,O, 
6,14,Y (Y),6,N,Y,0.6407,0.9473,3,O, 
7,14,Y (Y),6,N,Y,0.6148,0.8421,3,O, 
8,12,Y (N),6,N,Y,0.8293,1.0000,4,O, 
9,11,Y (Y),6,N,Y,0.6814,0.7894,3,O, 
10,10,Y (Y),6,Y,Y,0.8666,1.0000,4,O, 
11,10,Y (Y),6,N,Y,0.8518,0.9473,4,O, 
12,10,Y (N),6,N,Y,0.7571,1.0000,3,O, 
13,10,Y (Y),6,N,Y,0.6962,1.0000,3,O, 
14,10,Y (Y),5,N,Y,0.4777,0.9736,3,O, 
15,10,Y (Y),4,Y,Y,0.9185,0.8421,4,O, 
16,9,Y (Y),6,N,Y,0.4592,1.0000,3,O, 
17,8,Y (Y),6,N,Y,0.3185,0.8157,2,O, 
18,5,Y (Y),6,Y,Y,0.8592,0.9473,4,O, 
19,5,N (N),6,Y,Y,0.8518,1.0000,4,O, 
20,5,N (N),6,N,Y,0.5277,1.0000,3,O, 
21,4,Y (Y),6,N,Y,0.5222,0.6842,3,O, 
22,4,Y (Y),6,N,Y,0.4111,0.9736,2,O, 
23,3,Y (Y),6,N,Y,0.6296,0.9473,3,O, 
24,3,Y (Y),6,N,Y,0.5777,1.0000,3,O, 
25,2,Y (Y),6,Y,Y,0.8740,0.9473,4,O, 
26,2,Y (Y),6,Y,Y,0.8148,1.0000,4,O, 
27,2,Y (N),6,N,Y,0.6000,1.0000,3,O, 
28,2,Y (Y),6,N,Y,0.5703,0.9736,3,O, 
29,2,Y (Y),6,N,Y,0.3925,0.9736,2,O, 
30,2,N (N),6,N,Y,0.8074,1.0000,4,O, 
31,2,N (N),6,N,Y,0.5119,0.8611,2,O, 
32,1,Y (Y),6,Y,Y,1.0000,0.8947,4,O, 
33,1,Y (Y),6,N,Y,0.8740,0.9473,4,O, 
34,1,Y (Y),6,N,Y,0.8148,0.9473,4,O, 
35,1,Y (Y),6,N,Y,0.7703,0.6842,4,O, 
36,1,Y (Y),6,N,Y,0.7592,0.9736,4,X, 
37,1,Y (Y),6,N,Y,0.6444,0.6315,3,X, 
38,1,Y (Y),6,N,Y,0.5148,0.9473,3,X, 
39,1,Y (Y),5,Y,Y,0.9481,0.6315,4,X, 
40,1,Y (Y),5,N,Y,0.5481,0.5263,3,X, 
41,1,N (N),6,N,Y,0.8095,1.0000,4,X, 
