순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,Y,0.9047,0.8333,4,O, 
1,12,Y (Y),6,Y,Y,0.9047,0.8333,4,O, 
2,12,Y (Y),6,Y,Y,0.8888,1.0000,4,O, 
3,12,Y (Y),6,Y,N,0.8730,1.0000,4,O, 
4,12,Y (N),6,N,Y,0.8428,0.9473,4,O, 
5,12,Y (Y),6,N,Y,0.8095,1.0000,3,O, 
6,12,Y (Y),6,N,Y,0.7658,0.8333,4,O, 
7,12,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
8,12,Y (Y),6,N,Y,0.5793,0.9166,3,O, 
9,12,Y (Y),6,N,Y,0.5555,0.6944,3,O, 
10,12,Y (Y),6,N,Y,0.5476,1.0000,3,O, 
11,12,Y (Y),6,N,Y,0.4246,0.8611,2,O, 
12,12,Y (Y),6,N,Y,0.4166,0.8611,2,O, 
13,12,Y (Y),6,N,Y,0.3849,1.0000,2,O, 
14,12,Y (Y),5,N,Y,0.2857,0.6944,2,O, 
15,12,N (N),6,Y,Y,0.9365,1.0000,4,O, 
16,12,N (N),6,N,Y,0.5238,1.0000,3,O, 
17,6,Y (Y),6,N,Y,0.4484,0.6944,2,O, 
18,4,Y (Y),6,N,Y,0.7380,1.0000,3,O, 
19,3,Y (Y),6,N,Y,0.5277,1.0000,2,O, 
20,3,Y (Y),6,N,Y,0.4285,0.9166,2,O, 
21,2,Y (Y),6,N,Y,0.7182,1.0000,3,O, 
22,2,Y (Y),6,N,Y,0.5396,1.0000,3,O, 
23,2,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
24,2,Y (Y),5,N,Y,0.4246,1.0000,2,O, 
25,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
26,1,Y (N),6,Y,Y,1.0000,0.7894,4,X, 
27,1,Y (Y),6,Y,Y,0.9603,0.8333,4,X, 
28,1,Y (Y),6,Y,Y,0.9523,0.6666,4,X, 
29,1,Y (N),6,Y,Y,0.9259,0.7368,4,X, 
30,1,Y (Y),6,Y,Y,0.9126,0.5000,4,X, 
31,1,Y (Y),6,N,Y,0.6269,0.8611,3,O, 
32,1,Y (Y),6,N,Y,0.5079,1.0000,3,O, 
33,1,Y (Y),6,N,Y,0.4841,0.8611,3,X, 
34,1,Y (Y),6,N,Y,0.4563,1.0000,2,O, 
35,1,N (N),6,N,Y,0.4920,1.0000,3,X, 
