순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,Y,0.7857,0.8333,4,O, 
1,12,Y (Y),6,Y,Y,0.7857,0.8333,4,O, 
2,12,Y (Y),6,Y,N,1.0000,0.8333,4,O, 
3,12,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
4,12,Y (Y),6,N,Y,0.5992,1.0000,3,O, 
5,12,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
6,12,Y (Y),6,N,Y,0.5476,1.0000,3,O, 
7,12,Y (Y),6,N,Y,0.5333,0.9736,3,O, 
8,12,Y (Y),6,N,Y,0.5238,0.6944,3,O, 
9,12,Y (Y),6,N,Y,0.5111,0.7894,3,O, 
10,12,Y (Y),6,N,Y,0.5000,0.8750,3,X, 
11,12,Y (Y),6,N,Y,0.4481,0.9736,2,O, 
12,12,Y (Y),6,N,Y,0.3849,0.8611,2,O, 
13,12,Y (Y),6,N,Y,0.3769,1.0000,2,O, 
14,12,Y (Y),6,N,Y,0.3611,0.8055,2,O, 
15,12,Y (Y),6,N,Y,0.3412,1.0000,2,O, 
16,12,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
17,12,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
18,12,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
19,12,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
20,12,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
21,12,Y (Y),6,N,Y,0.3174,0.8888,2,O, 
22,12,Y (Y),6,N,Y,0.3174,0.8888,2,O, 
23,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
24,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
25,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
26,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
27,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
28,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
29,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
30,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
31,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
32,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
33,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
34,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
35,12,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
36,12,Y (Y),6,N,Y,0.3095,0.8888,2,O, 
37,12,Y (Y),6,N,Y,0.3095,0.8333,2,O, 
38,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
39,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
40,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
41,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
42,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
43,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
44,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
45,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
46,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
47,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
48,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
49,12,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
50,12,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
51,12,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
52,12,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
53,12,Y (Y),6,N,Y,0.2936,0.9722,2,O, 
54,12,Y (Y),6,N,Y,0.2936,0.9722,2,O, 
55,12,Y (Y),6,N,Y,0.2936,0.8333,2,O, 
56,12,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
57,12,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
58,12,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
59,12,Y (Y),6,N,Y,0.2817,0.9444,2,O, 
60,12,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
61,12,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
62,12,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
63,12,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
64,12,Y (Y),6,N,Y,0.2698,1.0000,2,O, 
65,12,Y (Y),6,N,Y,0.2698,1.0000,2,O, 
66,12,Y (Y),6,N,Y,0.2698,0.3333,3,X, 
67,12,Y (Y),6,N,Y,0.2619,0.9444,2,X, 
68,12,Y (Y),6,N,Y,0.2619,0.7777,2,X, 
69,12,Y (Y),6,N,Y,0.2619,0.7222,2,X, 
70,12,Y (Y),6,N,Y,0.2460,0.7777,2,X, 
71,12,Y (Y),6,N,Y,0.2222,0.7222,2,X, 
72,12,Y (Y),6,N,Y,0.1944,0.8333,2,X, 
73,12,Y (Y),6,N,N,0.5158,1.0000,3,X, 
74,12,Y (Y),6,N,N,0.5119,0.3333,3,X, 
75,12,Y (Y),5,N,Y,0.3253,1.0000,2,X, 
76,12,Y (Y),5,N,Y,0.2698,0.9444,2,X, 
77,12,Y (Y),5,N,Y,0.2539,0.8333,2,X, 
78,11,Y (Y),6,N,Y,0.5793,1.0000,3,X, 
79,10,Y (Y),6,Y,N,0.9365,1.0000,4,O, 
80,9,Y (Y),6,N,Y,0.2380,0.8888,2,X, 
81,1,Y (Y),6,N,Y,0.6865,1.0000,3,X, 
