순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,N (N),1,N,Y,0.3703,0.8157,2,O, 
1,35,N (N),1,N,Y,0.3703,0.8157,2,O, 
2,20,N (N),2,N,Y,0.5000,0.8881,3,O, 
3,10,N (N),6,N,N,0.6740,0.7894,3,O, 
4,8,N (N),6,N,Y,0.5185,0.9473,3,O, 
5,5,N (N),6,N,Y,0.6074,0.9473,3,O, 
6,3,N (N),6,N,N,0.6111,0.9736,3,O, 
7,2,N (N),6,N,Y,0.6518,0.9473,3,O, 
8,2,N (N),6,N,Y,0.4518,0.7894,3,O, 
9,2,N (N),6,N,Y,0.4148,0.7894,3,O, 
10,2,N (N),5,N,Y,0.3148,0.9736,2,O, 
11,1,N (N),6,N,Y,0.5333,0.8157,3,O, 
12,1,N (N),6,N,Y,0.4481,0.9736,2,O, 
13,1,N (N),6,N,Y,0.4333,1.0000,2,O, 
14,1,N (N),6,N,Y,0.4222,0.8157,2,O, 
15,1,N (N),6,N,Y,0.4185,0.9736,2,O, 
16,1,N (N),6,N,Y,0.4111,0.9736,2,O, 
17,1,N (N),6,N,Y,0.4037,0.8157,2,O, 
18,1,N (N),6,N,Y,0.4037,0.8157,2,O, 
19,1,N (N),6,N,Y,0.3962,0.8157,2,O, 
20,1,N (N),6,N,Y,0.3888,0.9210,2,O, 
21,1,N (N),6,N,Y,0.3703,0.7894,3,O, 
22,1,N (N),6,N,Y,0.3592,0.5789,3,O, 
23,1,N (N),6,N,Y,0.3185,0.7894,2,O, 
24,1,N (N),6,N,Y,0.3111,1.0000,2,O, 
25,1,N (N),6,N,Y,0.2851,0.6578,2,O, 
26,1,N (N),6,N,Y,0.2703,0.7631,2,O, 
27,1,N (N),6,N,Y,0.2444,0.7368,2,O, 
28,1,N (N),6,N,Y,0.2407,0.6842,2,O, 
29,1,N (N),5,N,Y,0.4629,0.9210,2,O, 
30,1,N (N),5,N,Y,0.4629,0.8157,2,O, 
31,1,N (N),5,N,Y,0.4259,0.8157,2,O, 
32,1,N (N),5,N,Y,0.3925,0.8947,2,O, 
33,1,N (N),5,N,Y,0.3814,0.6578,2,O, 
34,1,N (N),4,N,Y,0.5740,0.8157,3,O, 
35,1,N (N),4,N,Y,0.5592,0.4736,3,O, 
36,1,N (N),1,N,Y,0.4481,0.9736,2,O, 
