순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,1.0000,4,O, 
1,36,N (N),6,Y,Y,1.0000,1.0000,4,O, 
2,36,N (N),6,N,Y,0.9444,0.9761,4,O, 
3,30,N (N),6,N,Y,0.6074,0.8684,3,O, 
4,30,N (N),5,N,Y,0.8253,0.8333,4,O, 
5,28,N (N),6,N,Y,0.5185,0.9736,3,O, 
6,20,N (N),6,N,Y,0.5037,0.8881,3,O, 
7,11,Y (Y),6,N,Y,0.1888,0.6315,2,O, 
8,10,N (N),6,N,Y,0.5000,0.9722,3,O, 
9,6,Y (Y),6,N,Y,0.2888,1.0000,2,O, 
10,6,N (N),6,N,Y,0.2851,0.9736,2,O, 
11,5,N (N),6,N,Y,0.2888,1.0000,2,O, 
12,3,N (N),6,N,Y,0.7777,0.8333,4,O, 
13,3,N (N),6,N,Y,0.2962,1.0000,2,O, 
14,3,N (N),6,N,Y,0.2785,1.0000,2,O, 
15,3,N (N),6,N,Y,0.2444,0.8421,2,O, 
16,2,N (N),6,N,Y,0.2962,1.0000,2,O,* 
17,2,N (N),6,N,Y,0.3333,1.0000,2,O, 
18,2,N (N),6,N,Y,0.2777,1.0000,2,O, 
19,1,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
20,1,Y (Y),6,N,Y,0.2592,1.0000,2,O, 
21,1,Y (Y),6,N,N,0.6666,1.0000,3,O, 
22,1,N (N),6,N,Y,0.5928,0.9473,3,X, 
23,1,N (N),6,N,Y,0.3185,1.0000,2,O, 
24,1,N (N),6,N,Y,0.2888,1.0000,2,O, 
25,1,N (N),6,N,Y,0.2888,1.0000,2,O, 
