순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,N,Y,0.6407,0.8157,3,O, 
1,12,Y (Y),6,N,Y,0.6407,0.8157,3,O, 
2,10,Y (Y),6,N,N,0.6370,0.8157,3,O, 
3,6,Y (Y),5,N,Y,0.4814,0.5789,3,O, 
4,5,Y (Y),3,Y,Y,1.0000,0.4736,4,O, 
5,2,Y (Y),6,N,Y,0.6185,0.8157,3,O, 
6,1,Y (Y),6,N,Y,0.6629,0.9736,3,O, 
7,1,Y (Y),6,N,Y,0.6407,0.9736,3,O, 
8,1,Y (Y),6,N,Y,0.2703,0.7631,2,O, 
9,1,Y (Y),6,N,Y,0.1666,0.8157,2,O, 
10,1,Y (Y),6,N,N,0.5296,0.9473,3,O, 
11,1,Y (Y),6,N,N,0.5296,0.7894,3,O, 
12,1,Y (Y),6,N,N,0.4703,0.9736,2,O, 
13,1,N (N),6,N,Y,0.8888,0.9736,4,O, 
