순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (N),6,N,Y,0.8259,0.8684,4,O, 
1,36,Y (N),6,N,Y,0.8259,0.8684,4,O, 
2,36,Y (N),6,N,Y,0.6214,0.7894,4,O, 
3,36,Y (Y),6,N,Y,0.4000,0.9736,2,O, 
4,36,Y (Y),4,N,Y,0.8888,0.7894,4,O, 
5,36,N (N),6,N,Y,0.4259,0.9736,2,O, 
6,35,Y (N),3,N,Y,0.5952,0.8611,3,O, 
7,30,Y (Y),6,N,Y,0.6259,0.3157,3,O, 
8,30,Y (N),6,N,N,0.5777,0.9736,3,O, 
9,28,Y (Y),6,N,Y,0.7333,0.9473,4,O, 
10,28,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
11,28,Y (N),6,N,Y,0.5158,0.9285,3,O, 
12,28,Y (Y),6,N,Y,0.4074,0.8684,2,O, 
13,28,N (N),6,N,Y,0.4148,0.9736,2,O, 
14,27,Y (Y),6,N,Y,0.3814,0.8157,3,O, 
15,27,N (N),6,N,Y,0.4880,1.0000,2,O, 
16,26,Y (Y),6,N,Y,0.5296,0.9736,3,O, 
17,26,Y (Y),4,N,Y,0.4148,0.4736,3,O, 
18,24,Y (N),5,N,Y,0.4535,1.0000,2,O, 
19,23,N (N),5,N,Y,0.5000,0.9722,3,O, 
20,21,N (N),5,Y,Y,0.9126,1.0000,4,O, 
21,20,Y (Y),6,N,Y,0.5703,0.9210,3,O, 
22,20,Y (Y),6,N,Y,0.4518,1.0000,2,O, 
23,20,Y (Y),5,N,Y,0.7500,0.9375,4,O, 
24,20,Y (Y),5,N,Y,0.6222,0.7894,3,O, 
25,20,Y (N),4,N,Y,0.6865,1.0000,3,O, 
26,20,N (N),6,Y,Y,0.9603,1.0000,4,O, 
27,20,N (N),4,N,Y,0.5000,0.9722,3,O, 
28,19,N (N),6,N,Y,0.6962,0.9473,3,O, 
29,18,Y (Y),6,N,Y,0.9037,0.6315,4,O, 
30,18,N (N),6,Y,Y,0.9357,0.9473,4,O, 
31,18,N (N),6,N,Y,0.6111,1.0000,3,O, 
32,17,Y (Y),5,N,Y,0.3518,0.6578,2,O, 
33,17,N (N),6,N,Y,0.6074,0.6315,3,O, 
34,17,N (N),6,N,Y,0.5357,1.0000,2,O, 
35,16,Y (Y),6,N,Y,0.6629,0.9736,3,O, 
36,16,Y (Y),6,N,Y,0.5185,0.9736,3,O, 
37,15,Y (Y),6,N,Y,0.4925,0.7894,3,O,* 
38,15,Y (N),6,N,Y,0.8055,1.0000,4,O, 
39,15,Y (Y),6,N,Y,0.6666,0.8421,3,O, 
40,15,N (N),6,N,Y,1.0000,0.8333,2,O, 
41,14,Y (Y),6,N,Y,0.6111,0.9736,3,O, 
42,14,Y (Y),6,N,Y,0.4037,0.8157,2,O, 
43,14,Y (Y),6,N,Y,0.1666,0.6315,2,O, 
44,14,Y (Y),6,N,N,0.6000,0.8157,3,O, 
45,13,Y (Y),6,N,Y,0.6629,0.9736,3,O, 
46,13,Y (Y),6,N,Y,0.4333,1.0000,2,O, 
47,13,N (N),6,N,Y,0.6071,1.0000,3,O, 
48,13,N (N),6,N,Y,0.4535,1.0000,2,O, 
49,12,Y (Y),6,N,Y,0.4037,0.8157,2,O, 
50,12,Y (Y),5,N,Y,0.3222,0.6578,2,O, 
51,11,Y (Y),6,N,Y,0.4407,0.8157,2,O, 
52,11,Y (Y),6,N,N,0.5296,0.9736,3,O, 
53,11,N (N),6,N,Y,0.5357,1.0000,2,O, 
54,10,Y (Y),6,N,Y,0.5185,0.9736,3,O, 
55,10,Y (Y),6,N,Y,0.4074,0.9736,2,O, 
56,10,Y (Y),6,N,Y,0.4037,0.9736,2,O, 
57,10,Y (Y),6,N,Y,0.3777,0.8157,2,O, 
58,10,Y (N),6,N,N,0.8214,0.7894,4,O, 
59,9,Y (Y),6,N,Y,0.4703,0.7894,2,O, 
60,9,Y (Y),6,N,Y,0.4185,0.9736,2,X, 
61,8,Y (Y),6,N,Y,0.2407,1.0000,2,X, 
62,7,Y (Y),6,N,Y,0.6296,0.6842,4,X, 
63,7,Y (Y),6,N,Y,0.4259,0.9736,2,X, 
64,6,Y (Y),6,N,N,0.4851,0.5000,3,X, 
65,5,Y (Y),6,N,Y,0.3962,0.9736,2,X, 
66,5,Y (Y),6,N,Y,0.3666,0.6578,2,X, 
67,3,Y (Y),6,N,Y,0.5629,1.0000,3,X, 
68,3,Y (Y),6,N,Y,0.2925,0.8157,3,X, 
69,1,N (N),6,Y,Y,1.0000,0.9473,4,X, 
0,12,Y (Y),6,N,Y,0.4259,0.9736,2,O,* 
