순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),3,N,Y,0.5000,0.9375,3,O, 
1,35,Y (Y),3,N,Y,0.5000,0.9375,3,O, 
2,12,Y (Y),6,Y,Y,0.9259,0.9736,4,O, 
3,8,Y (Y),6,N,Y,0.8740,0.8947,4,O, 
4,6,Y (Y),6,N,Y,0.4481,1.0000,2,O, 
5,4,Y (Y),6,Y,Y,0.9407,1.0000,4,O, 
6,2,Y (Y),6,N,Y,0.8962,0.9473,4,O, 
7,2,Y (Y),6,N,Y,0.7703,0.6842,4,O, 
8,2,Y (Y),5,Y,Y,0.9629,0.8947,4,O, 
9,1,Y (Y),6,Y,Y,0.9703,0.9473,4,O, 
10,1,Y (Y),6,Y,Y,0.9703,0.8947,4,O, 
11,1,Y (Y),6,Y,Y,0.8851,0.9473,4,O, 
12,1,Y (Y),6,N,Y,0.7703,0.9473,4,O, 
13,1,Y (Y),6,N,Y,0.6518,0.9473,3,O, 
14,1,Y (Y),6,N,Y,0.6037,1.0000,3,O, 
15,1,Y (Y),5,Y,Y,0.9407,0.9473,4,O, 
16,1,Y (Y),5,Y,Y,0.9259,1.0000,4,O, 
17,1,Y (Y),5,Y,Y,0.8888,0.8947,4,O, 
18,1,N (N),5,N,Y,0.9473,1.0000,2,O, 
