순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (N),6,Y,Y,0.9857,0.3888,4,O, 
1,36,Y (N),6,Y,Y,0.9857,0.3888,4,O, 
2,30,Y (Y),6,N,Y,0.6370,0.8421,3,O, 
3,30,Y (Y),6,N,Y,0.4333,0.8157,2,O, 
4,20,Y (Y),6,N,Y,0.6814,0.9473,3,O, 
5,20,Y (Y),6,N,Y,0.5518,1.0000,3,O, 
6,20,Y (Y),4,N,Y,0.3629,0.8421,2,O, 
7,18,Y (Y),6,N,Y,0.3814,0.8157,2,O, 
8,17,Y (Y),6,N,Y,0.4185,0.9736,2,O, 
9,16,Y (Y),5,N,Y,0.5592,0.6315,3,O, 
10,15,Y (Y),6,N,Y,0.4444,1.0000,2,O, 
11,15,Y (Y),6,N,Y,0.3444,0.8157,2,O, 
12,14,Y (Y),6,Y,Y,0.9037,1.0000,4,O, 
13,14,Y (Y),6,N,Y,0.6777,0.8947,3,O, 
14,13,Y (Y),6,N,Y,0.3370,0.9736,2,O, 
15,12,Y (N),6,N,Y,0.9142,1.0000,4,O, 
16,11,Y (Y),6,N,Y,0.8592,1.0000,4,O, 
17,11,Y (Y),6,N,Y,0.5185,0.9473,3,O, 
18,11,Y (Y),6,N,Y,0.4000,0.7894,2,O, 
19,10,Y (Y),6,N,Y,0.8722,0.8421,4,O, 
20,10,Y (Y),6,N,Y,0.3777,0.8157,2,O, 
21,10,Y (Y),6,N,Y,0.3370,0.9736,2,O, 
22,9,Y (Y),6,N,Y,0.3740,0.8157,2,O, 
23,9,Y (Y),6,N,Y,0.3666,0.7631,2,O, 
24,9,Y (Y),6,N,Y,0.2888,1.0000,2,O, 
25,8,Y (Y),6,N,Y,0.5074,0.9736,3,O, 
26,8,Y (Y),6,N,Y,0.4185,0.9736,2,O, 
27,8,Y (Y),6,N,Y,0.3962,0.8157,2,O, 
28,8,Y (Y),6,N,Y,0.3740,0.8157,2,O, 
29,7,Y (Y),6,N,Y,0.3740,0.8157,2,O, 
30,6,Y (Y),6,N,Y,0.3777,0.8157,2,O, 
31,6,Y (Y),6,N,Y,0.3629,0.7631,2,O, 
32,6,Y (Y),6,N,Y,0.2444,0.7368,2,O, 
33,5,Y (Y),6,N,Y,0.4740,1.0000,2,O, 
34,5,Y (Y),6,N,Y,0.3740,0.6052,2,O, 
35,5,Y (Y),4,N,Y,0.3814,0.7631,2,O, 
36,4,Y (Y),6,N,Y,0.5222,0.8157,3,X, 
37,4,Y (Y),6,N,Y,0.3962,0.8157,2,X, 
38,4,Y (Y),6,N,Y,0.3925,0.9210,2,X, 
39,3,Y (Y),6,N,Y,0.7481,0.8684,3,X, 
40,3,Y (Y),6,N,Y,0.3851,0.9210,2,X, 
41,3,Y (Y),6,N,Y,0.2555,1.0000,2,X, 
42,3,Y (Y),6,N,Y,0.2444,0.8421,2,X, 
43,1,Y (Y),6,N,Y,0.3888,0.9210,2,X, 
44,1,Y (Y),6,N,Y,0.2592,0.8421,2,X, 
