순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,Y,Y,1.0000,0.7368,5,O, 
1,36,Y (Y),6,Y,Y,1.0000,0.7368,5,O, 
2,36,Y (Y),6,N,Y,1.0000,0.9473,5,O, 
3,36,Y (Y),6,N,Y,0.7469,0.9473,4,O, 
4,36,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
5,36,Y (Y),6,N,Y,0.3132,0.9473,2,O, 
6,36,Y (Y),5,N,Y,0.3857,0.7894,2,O, 
7,36,Y (Y),4,Y,Y,0.9126,0.5000,4,O, 
8,36,Y (Y),3,Y,Y,0.9698,0.7894,5,O, 
9,36,Y (Y),2,Y,Y,1.0000,0.8888,4,O, 
10,35,Y (Y),6,N,Y,0.6746,0.9473,5,O, 
11,30,Y (Y),6,N,Y,0.7289,1.0000,4,O, 
12,30,Y (Y),5,Y,Y,0.9277,0.7894,5,O, 
13,30,Y (Y),4,N,Y,0.6807,0.9473,5,O, 
14,30,Y (Y),3,Y,Y,1.0000,0.8421,4,O, 
15,29,Y (Y),6,N,Y,0.7927,0.9473,4,O, 
16,29,Y (Y),6,N,Y,0.7807,0.9473,4,O, 
17,28,Y (Y),6,N,Y,0.7710,0.9473,4,O, 
18,26,Y (Y),5,N,Y,0.8614,0.9473,5,O, 
19,26,Y (Y),4,Y,Y,0.9337,0.9473,5,O, 
20,25,Y (Y),6,N,Y,0.6714,0.9736,3,O, 
21,25,Y (Y),6,N,Y,0.6357,0.9473,3,O, 
22,25,Y (Y),5,Y,Y,0.9337,0.7894,5,O, 
23,25,Y (Y),5,N,Y,0.6325,0.9473,4,O, 
24,25,Y (Y),4,Y,Y,0.9638,0.8421,5,O, 
25,25,Y (Y),4,Y,Y,0.9457,0.7894,5,O, 
26,24,Y (Y),6,N,Y,0.7142,0.9473,4,O, 
27,23,Y (Y),6,N,Y,0.5301,0.9473,3,O, 
