순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,Y (Y),6,N,Y,0.3964,0.9736,2,O, 
1,20,Y (Y),6,N,Y,0.3964,0.9736,2,O, 
2,15,Y (Y),5,N,Y,0.6500,0.8157,3,O, 
3,10,Y (Y),3,N,Y,0.3535,0.8157,2,O, 
4,9,Y (Y),6,N,Y,0.3964,1.0000,2,O, 
5,7,Y (Y),6,N,Y,0.4035,0.9736,2,O, 
6,7,Y (Y),6,N,Y,0.3892,0.8157,2,O, 
7,6,Y (Y),6,N,Y,0.6857,0.9473,3,O, 
8,6,Y (Y),6,N,Y,0.5892,0.9473,3,O, 
9,6,Y (Y),6,N,Y,0.4000,0.9736,2,O, 
10,5,Y (Y),6,N,Y,0.4392,1.0000,2,O, 
11,5,Y (Y),6,N,Y,0.4107,0.9736,2,O, 
12,5,Y (Y),6,N,Y,0.4035,0.8157,2,O, 
13,5,Y (Y),6,N,Y,0.3857,1.0000,2,O, 
14,5,Y (Y),6,N,Y,0.3821,0.9736,2,O, 
15,5,Y (Y),5,N,Y,0.3571,0.9736,2,O, 
16,5,Y (Y),5,N,Y,0.2785,0.8421,2,O, 
17,4,Y (Y),6,N,Y,0.4607,1.0000,2,O, 
18,4,Y (Y),6,N,Y,0.4178,1.0000,2,O, 
19,4,Y (Y),6,N,Y,0.3821,1.0000,2,O, 
20,3,Y (Y),6,N,Y,0.4607,1.0000,2,O, 
21,3,Y (Y),6,N,Y,0.4178,1.0000,2,O, 
22,3,Y (Y),6,N,Y,0.4071,0.9736,2,O, 
23,3,Y (Y),6,N,Y,0.3892,0.9736,2,O, 
24,3,Y (Y),6,N,Y,0.3821,0.9210,2,O, 
25,3,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
26,2,Y (Y),6,N,Y,0.4678,1.0000,2,O, 
27,2,Y (Y),6,N,Y,0.4464,1.0000,2,O, 
28,2,Y (Y),6,N,Y,0.4178,1.0000,2,O, 
29,2,Y (Y),6,N,Y,0.3750,0.9736,2,O, 
30,2,Y (Y),6,N,Y,0.3535,0.9473,2,O, 
31,2,Y (Y),6,N,Y,0.2678,0.7631,2,O, 
32,1,Y (Y),6,N,Y,0.4178,0.9736,2,O, 
33,1,Y (Y),6,N,Y,0.3250,0.8157,2,O, 
34,1,Y (Y),6,N,Y,0.2714,0.5526,2,O, 
