순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,21,Y (Y),3,Y,Y,0.9428,0.6315,4,O, 
1,21,Y (Y),3,Y,Y,0.9428,0.6315,4,O, 
2,6,Y (N),3,Y,Y,0.9444,0.5000,4,O, 
3,2,Y (Y),5,N,Y,0.8857,0.7894,4,O, 
4,2,Y (N),4,N,Y,0.8888,0.6315,4,O, 
5,1,Y (N),6,Y,Y,1.0000,0.8333,4,O, 
6,1,Y (Y),6,N,Y,0.8750,0.9473,4,O, 
7,1,Y (Y),6,N,Y,0.8607,0.8157,4,O, 
8,1,Y (Y),6,N,Y,0.8500,0.7894,4,O, 
9,1,Y (Y),6,N,Y,0.8142,0.9473,4,O, 
10,1,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
11,1,Y (Y),6,N,Y,0.8000,0.9473,4,O, 
12,1,Y (Y),6,N,Y,0.7785,0.8421,4,O, 
13,1,Y (Y),6,N,Y,0.7714,0.7894,4,O, 
14,1,Y (Y),6,N,Y,0.7642,0.7894,4,O, 
15,1,Y (Y),6,N,Y,0.7357,0.8421,4,O, 
16,1,Y (Y),6,N,Y,0.7142,0.9473,4,O, 
17,1,Y (Y),6,N,Y,0.7142,0.6842,4,O, 
18,1,Y (Y),6,N,Y,0.6785,1.0000,3,O, 
19,1,Y (Y),6,N,Y,0.6642,0.8947,3,O, 
20,1,Y (Y),6,N,Y,0.6535,0.9736,3,O, 
21,1,Y (Y),5,N,Y,0.7714,0.8157,4,X, 
22,1,Y (Y),5,N,Y,0.7071,0.7894,4,X, 
