순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,N,Y,0.7821,1.0000,4,O, 
1,24,Y (Y),6,N,Y,0.7821,1.0000,4,O, 
2,21,Y (Y),6,N,Y,0.5357,0.9736,3,O, 
3,20,Y (Y),6,N,Y,0.5571,0.9736,3,O, 
4,20,Y (Y),5,N,Y,0.6535,1.0000,3,O, 
5,19,Y (Y),6,N,Y,0.6607,0.8421,4,O, 
6,19,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
7,19,Y (Y),6,N,Y,0.5142,0.8157,3,O, 
8,19,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
9,19,Y (Y),6,N,Y,0.4785,0.7105,3,O, 
10,19,Y (Y),6,N,Y,0.4214,0.7105,3,O, 
11,19,Y (Y),5,Y,Y,1.0000,0.9473,4,O, 
12,18,Y (Y),6,N,Y,0.6000,0.9736,3,O, 
13,18,Y (Y),6,N,Y,0.6000,0.9736,3,O, 
14,18,Y (Y),6,N,Y,0.5777,0.9736,3,O, 
15,18,Y (Y),6,N,Y,0.4321,0.6578,3,O, 
16,17,Y (Y),6,N,Y,0.7571,1.0000,3,O, 
17,17,Y (Y),6,N,Y,0.5428,0.9736,3,O, 
18,17,Y (Y),6,N,Y,0.5178,0.9736,3,O, 
19,17,Y (Y),6,N,Y,0.4928,0.7894,3,O, 
20,16,Y (Y),6,N,Y,0.5642,0.8684,3,O, 
21,16,Y (Y),6,N,Y,0.5571,0.9736,3,O, 
22,16,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
23,16,Y (Y),6,N,Y,0.5357,0.9736,3,O, 
24,16,Y (Y),6,N,Y,0.5285,0.9736,3,O, 
25,15,Y (Y),6,N,Y,0.7925,1.0000,4,O, 
26,15,Y (Y),6,N,Y,0.6222,0.9736,3,O, 
27,15,Y (Y),6,N,Y,0.5857,1.0000,3,O, 
28,15,Y (Y),6,N,Y,0.5777,0.9736,3,O, 
29,15,Y (Y),6,N,Y,0.5642,0.8684,3,O, 
30,15,Y (Y),6,N,Y,0.5535,0.9736,3,O, 
31,15,Y (Y),6,N,Y,0.5428,0.9736,3,O, 
32,15,Y (Y),6,N,Y,0.5142,0.8157,3,O, 
33,15,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
34,15,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
35,14,Y (Y),6,N,Y,0.7642,0.9736,4,O, 
36,14,Y (Y),6,N,Y,0.6071,0.8684,3,O, 
37,14,Y (Y),6,N,Y,0.5785,1.0000,3,O, 
38,14,Y (Y),6,N,Y,0.5714,0.9736,3,O, 
39,14,Y (Y),6,N,Y,0.5642,1.0000,3,O, 
40,14,Y (Y),6,N,Y,0.5642,0.9736,3,O, 
41,14,Y (Y),6,N,Y,0.5642,0.9736,3,O, 
42,14,Y (Y),6,N,Y,0.5571,1.0000,3,O, 
43,14,Y (Y),6,N,Y,0.5357,0.9736,3,O, 
44,14,Y (Y),6,N,Y,0.5321,0.9736,3,O, 
45,14,Y (Y),6,N,Y,0.5214,1.0000,3,O, 
46,14,Y (Y),6,N,Y,0.5142,0.9736,3,O, 
47,14,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
48,14,Y (Y),5,N,Y,0.6142,1.0000,3,O, 
49,14,Y (Y),4,N,Y,0.4928,0.8421,3,O, 
50,13,Y (Y),6,N,Y,0.6500,0.9736,3,O, 
51,13,Y (Y),6,N,Y,0.6285,1.0000,3,O, 
52,13,Y (Y),6,N,Y,0.5642,0.9736,3,O, 
53,13,Y (Y),6,N,Y,0.5428,0.9736,3,O, 
54,13,Y (Y),6,N,Y,0.5428,0.8157,3,O, 
55,13,Y (Y),6,N,Y,0.5357,0.8157,3,O, 
56,13,Y (Y),6,N,Y,0.5000,0.9736,3,O, 
57,13,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
58,13,Y (Y),6,N,Y,0.3785,0.8157,3,O, 
59,13,Y (Y),6,N,N,0.5178,0.4736,3,O, 
60,13,Y (Y),5,N,Y,0.5285,0.6578,3,O, 
61,13,Y (Y),5,N,Y,0.4928,0.7894,3,O, 
62,13,N (N),6,N,Y,0.8148,0.6315,4,O, 
63,12,Y (Y),6,N,Y,0.7341,1.0000,4,O, 
64,12,Y (Y),6,N,Y,0.7321,0.8684,4,O, 
65,12,Y (Y),6,N,Y,0.6500,0.7894,3,O, 
66,12,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
67,12,Y (Y),6,N,Y,0.5571,0.8157,3,O, 
68,11,Y (Y),6,N,Y,0.6071,0.7894,3,O, 
69,11,Y (Y),6,N,Y,0.5481,0.8157,3,O, 
70,10,Y (Y),6,N,Y,0.5571,0.9736,3,O, 
71,10,Y (Y),6,N,Y,0.5000,0.9210,3,X, 
72,9,Y (Y),6,N,Y,0.5928,0.9736,3,X, 
73,8,Y (Y),6,N,Y,0.5000,0.9210,3,X, 
74,8,Y (Y),5,N,Y,0.5250,0.7894,3,X, 
75,6,Y (Y),6,N,Y,0.5571,0.9736,3,X, 
76,6,Y (Y),5,N,Y,0.5250,0.9473,3,X, 
77,3,Y (Y),6,N,Y,0.5000,0.8684,3,X, 
78,1,Y (Y),5,N,Y,0.4821,0.7894,3,X, 
