순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,14,Y (Y),6,N,Y,0.4642,0.5789,4,O, 
1,14,Y (Y),6,N,Y,0.4642,0.5789,4,O, 
2,9,Y (Y),6,N,Y,0.5500,1.0000,3,O, 
3,7,Y (Y),6,N,Y,0.5857,0.6315,4,O, 
4,7,Y (Y),6,N,Y,0.5607,0.8157,3,O, 
5,5,Y (Y),6,N,Y,0.8055,0.9736,4,O, 
6,4,Y (Y),6,N,Y,0.7500,0.8421,4,O, 
7,4,Y (Y),6,N,Y,0.5214,0.9736,3,O, 
8,4,Y (Y),6,N,Y,0.5178,0.8157,3,O, 
9,4,Y (Y),6,N,Y,0.5142,0.6315,4,O, 
10,4,Y (Y),6,N,Y,0.4678,0.8157,3,O, 
11,3,Y (Y),6,N,Y,0.5571,0.9736,3,O, 
12,2,Y (Y),6,N,Y,0.5857,0.9736,3,O, 
13,1,Y (Y),6,Y,Y,0.8740,0.6315,4,O, 
14,1,Y (Y),6,N,Y,0.7785,0.8421,4,O, 
15,1,Y (Y),6,N,Y,0.7629,0.7894,4,O, 
16,1,Y (Y),6,N,Y,0.6285,0.9473,3,O, 
17,1,Y (Y),6,N,Y,0.6142,1.0000,3,O, 
18,1,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
19,1,Y (Y),6,N,Y,0.6035,0.7894,3,O, 
20,1,Y (Y),6,N,Y,0.5928,0.8684,4,O, 
21,1,Y (Y),6,N,Y,0.5678,0.9736,3,O, 
22,1,Y (Y),6,N,Y,0.5592,0.8157,3,O, 
23,1,Y (Y),6,N,Y,0.5464,0.9736,3,O, 
24,1,Y (Y),6,N,Y,0.5428,1.0000,3,O, 
25,1,Y (Y),6,N,Y,0.5250,0.9736,3,O, 
26,1,Y (Y),6,N,Y,0.5142,0.9736,3,O, 
27,1,Y (Y),6,N,Y,0.5142,0.8157,3,O, 
28,1,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
29,1,Y (Y),6,N,Y,0.5000,0.7894,3,O, 
30,1,Y (Y),6,N,Y,0.4857,0.8157,3,O, 
