순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7500,0.9722,4,O, 
1,36,Y (Y),6,N,Y,0.7500,0.9722,4,O, 
2,36,Y (Y),6,N,Y,0.6928,0.9473,4,O, 
3,36,Y (Y),2,N,Y,0.8857,0.4736,4,O, 
4,35,Y (Y),2,Y,Y,0.9928,1.0000,4,O, 
5,33,Y (Y),6,Y,Y,0.9571,1.0000,4,O, 
6,32,Y (Y),5,N,Y,0.6250,0.6315,4,O, 
7,30,Y (Y),2,N,Y,0.7714,0.9473,4,O, 
8,29,Y (Y),6,N,Y,0.8285,1.0000,4,O, 
9,29,Y (Y),6,N,Y,0.7928,0.7894,4,O, 
10,27,Y (Y),6,N,Y,0.6785,0.9473,4,O, 
11,25,Y (Y),6,N,Y,0.7642,0.7894,4,O, 
12,24,Y (Y),6,N,Y,0.9142,0.9473,4,O, 
13,24,Y (Y),6,N,Y,0.7714,0.7368,4,O, 
14,23,Y (Y),6,N,Y,0.7642,0.7894,4,O, 
15,23,Y (Y),5,Y,Y,0.8928,0.9473,4,O, 
16,22,Y (Y),6,N,Y,0.7428,0.6315,4,O, 
17,22,Y (Y),6,N,Y,0.6214,0.8947,3,O, 
18,21,Y (Y),6,N,Y,0.6392,0.8947,3,O, 
19,20,Y (Y),6,N,Y,0.8214,0.9473,4,O, 
20,20,Y (Y),6,N,Y,0.7071,1.0000,3,O, 
21,20,Y (Y),4,Y,Y,0.9142,0.7894,4,O, 
22,20,N (N),6,N,Y,0.7380,0.8333,4,O, 
23,17,Y (Y),6,N,Y,0.7928,1.0000,4,O, 
24,12,Y (Y),3,Y,Y,0.9428,1.0000,4,O, 
25,10,Y (Y),6,N,Y,0.7571,0.7894,4,O, 
26,10,Y (Y),6,N,Y,0.7357,0.7894,4,O, 
27,6,Y (Y),6,N,Y,0.7428,1.0000,4,O, 
28,4,N (N),6,N,Y,0.7500,0.8750,4,X, 
29,1,Y (Y),6,Y,Y,0.8857,0.7894,4,X, 
