순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,13,Y (N),6,N,Y,0.9629,0.9473,4,O, 
1,13,Y (N),6,N,Y,0.9629,0.9473,4,O, 
2,11,Y (Y),6,Y,N,0.9357,0.9473,4,O, 
3,10,Y (Y),6,N,Y,0.7571,0.9473,4,O, 
4,10,Y (Y),6,N,Y,0.4750,0.8157,3,O, 
5,10,Y (Y),6,N,Y,0.4071,0.7894,3,O, 
6,9,Y (Y),6,N,Y,0.6142,0.7894,4,O, 
7,8,Y (Y),6,N,Y,0.5928,0.7894,3,O, 
8,7,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
9,7,Y (N),6,N,Y,0.7555,0.9473,4,O, 
10,5,N (N),6,N,Y,0.7500,0.9473,3,O, 
11,4,Y (Y),6,N,Y,0.6214,0.8421,3,O, 
12,3,Y (Y),6,Y,Y,0.8642,1.0000,4,O, 
13,3,Y (Y),6,N,Y,0.8428,0.9473,4,O, 
14,3,Y (N),6,N,Y,0.7481,0.7894,4,O, 
15,3,Y (Y),6,N,Y,0.5392,1.0000,3,O, 
16,3,Y (Y),6,N,Y,0.5285,0.9473,4,O, 
17,2,Y (Y),6,Y,Y,0.9928,0.6315,4,O, 
18,2,Y (N),6,N,Y,0.6507,0.8888,3,O, 
19,2,Y (Y),5,N,Y,0.8857,0.5789,4,O, 
20,1,Y (N),6,N,Y,0.8968,0.8888,4,O, 
21,1,Y (N),6,N,Y,0.8074,0.6315,4,O, 
22,1,Y (N),6,N,Y,0.7936,0.6666,4,O, 
23,1,Y (N),6,N,Y,0.7500,0.9736,4,O, 
24,1,Y (N),6,N,Y,0.7481,0.8684,3,O, 
25,1,Y (Y),6,N,Y,0.6571,0.9473,3,O, 
26,1,Y (Y),6,N,Y,0.6571,0.7894,3,O, 
27,1,Y (Y),6,N,Y,0.6285,0.3157,4,O, 
28,1,Y (Y),6,N,Y,0.6142,0.9736,3,O, 
29,1,Y (N),5,N,Y,0.7460,0.8333,4,X, 
30,1,Y (Y),5,N,Y,0.6500,0.9473,3,O, 
31,1,N (N),6,N,Y,0.6888,0.7894,3,X, 
