순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,N,Y,0.2928,0.7916,2,O, 
1,12,Y (Y),6,N,Y,0.2928,0.7916,2,O, 
2,11,Y (Y),6,N,Y,0.3500,1.0000,2,O, 
3,10,Y (Y),6,N,Y,0.3642,1.0000,2,O, 
4,10,Y (Y),6,N,Y,0.3142,0.8958,2,O, 
5,10,Y (Y),5,N,Y,0.8650,1.0000,4,O, 
6,8,Y (Y),5,N,Y,0.7420,0.9375,3,O, 
7,6,Y (Y),6,N,Y,0.3642,1.0000,2,O, 
8,5,Y (Y),6,N,Y,0.6984,0.9791,3,O, 
9,5,Y (Y),6,N,Y,0.6944,0.9583,3,O, 
10,4,Y (Y),6,N,Y,0.7023,0.9375,3,O, 
11,3,Y (Y),6,N,Y,0.3071,1.0000,2,O, 
12,3,Y (Y),6,N,Y,0.3000,0.9166,2,O, 
13,3,Y (Y),6,N,Y,0.2964,0.7083,2,O, 
14,2,Y (Y),6,N,Y,0.6904,0.9791,3,O, 
15,2,Y (Y),6,N,Y,0.6547,0.9791,3,O, 
16,2,Y (Y),6,N,Y,0.3642,1.0000,2,O, 
17,2,Y (Y),6,N,Y,0.3214,1.0000,2,O, 
18,1,Y (Y),6,N,Y,0.5753,0.6666,3,O, 
19,1,Y (Y),6,N,Y,0.3642,1.0000,2,O, 
20,1,Y (Y),6,N,Y,0.3428,1.0000,2,O, 
21,1,Y (Y),6,N,Y,0.3250,0.8750,2,O, 
22,1,Y (Y),6,N,Y,0.3214,0.8333,2,O, 
23,1,Y (Y),6,N,Y,0.3142,0.9166,2,O, 
