순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),5,N,Y,0.7714,1.0000,4,O, 
1,36,Y (Y),5,N,Y,0.7714,1.0000,4,O, 
2,35,Y (Y),3,Y,Y,0.9555,0.6315,4,O, 
3,35,Y (Y),2,Y,Y,0.9857,0.7894,4,O, 
4,27,Y (Y),3,Y,Y,0.9357,0.9473,4,O, 
5,26,Y (Y),6,N,Y,0.5285,1.0000,3,O, 
6,26,Y (Y),5,N,Y,0.5428,0.9736,3,O, 
7,25,Y (Y),6,N,Y,0.7642,0.8421,4,O, 
8,25,Y (Y),6,N,Y,0.4071,0.9473,3,O, 
9,24,Y (Y),4,N,Y,0.8785,0.7894,4,O, 
10,24,Y (Y),3,Y,N,1.0000,0.3157,4,O, 
11,23,Y (Y),6,N,Y,0.5214,0.9210,3,O, 
12,22,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
13,22,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
14,22,Y (Y),6,N,Y,0.5357,1.0000,3,O, 
15,22,Y (Y),5,N,Y,0.8000,1.0000,4,O, 
16,21,Y (Y),6,Y,N,0.9785,0.5263,4,X, 
17,21,Y (Y),6,N,Y,0.8000,0.7894,4,X, 
18,21,Y (Y),6,N,Y,0.6000,1.0000,3,O, 
19,21,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
20,21,Y (Y),6,N,Y,0.5392,0.8157,3,O, 
21,20,Y (Y),6,N,Y,0.7928,1.0000,4,X, 
22,20,Y (Y),6,N,Y,0.7714,1.0000,3,O, 
23,20,Y (Y),6,N,Y,0.7071,1.0000,3,O, 
24,20,Y (Y),6,N,Y,0.6428,0.8947,3,O, 
25,20,Y (Y),6,N,Y,0.5857,0.9736,3,O, 
26,20,Y (Y),6,N,Y,0.5678,0.9736,3,O, 
27,20,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
28,20,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
29,20,Y (Y),6,N,Y,0.5428,0.9736,3,O, 
30,20,Y (Y),6,N,Y,0.5392,0.8157,3,O, 
31,20,Y (Y),6,N,Y,0.5357,0.8684,3,O, 
32,20,Y (Y),5,N,Y,0.9047,1.0000,4,X, 
33,20,Y (Y),5,N,Y,0.5714,1.0000,3,O, 
34,20,N (N),5,N,Y,0.7142,1.0000,4,X, 
35,19,Y (Y),6,N,Y,0.5500,0.8157,3,O, 
36,19,N (N),6,Y,Y,0.8714,0.9473,4,X, 
37,19,N (N),6,N,Y,0.8928,1.0000,4,X, 
38,18,Y (Y),6,N,Y,0.6500,0.8684,3,O, 
39,18,Y (Y),6,N,Y,0.6142,1.0000,4,X, 
40,18,Y (Y),6,N,Y,0.6142,1.0000,3,O, 
41,18,Y (Y),6,N,Y,0.5642,1.0000,3,O, 
42,18,Y (Y),6,N,Y,0.5642,0.9736,3,O, 
43,18,Y (Y),6,N,Y,0.5357,0.9736,3,O, 
44,18,Y (Y),6,N,Y,0.5214,0.9736,3,O, 
45,17,Y (Y),6,N,Y,0.8500,0.9473,4,X, 
46,17,Y (Y),6,N,Y,0.7642,1.0000,4,X, 
47,17,Y (Y),6,N,Y,0.6535,0.8421,3,O, 
48,17,Y (Y),6,N,Y,0.6142,0.7894,3,O, 
49,17,Y (Y),6,N,Y,0.5500,0.9736,3,O, 
50,17,Y (Y),6,N,Y,0.5357,0.9736,3,O, 
51,17,Y (Y),6,N,Y,0.5107,0.9473,3,O, 
52,17,Y (Y),6,N,Y,0.4642,0.7368,3,O, 
53,16,Y (Y),6,N,Y,0.7000,0.6315,4,X, 
54,16,Y (Y),6,N,Y,0.6642,0.9473,3,O, 
55,16,Y (Y),6,N,Y,0.6142,0.9473,4,X, 
56,16,Y (Y),6,N,Y,0.5285,0.8684,3,O, 
57,16,Y (Y),6,N,Y,0.5214,0.9736,3,O, 
58,16,Y (Y),6,N,Y,0.5142,0.8157,3,O, 
59,16,Y (Y),6,N,Y,0.4500,0.4736,3,O, 
60,15,Y (Y),6,N,Y,0.5857,1.0000,3,O, 
61,15,Y (Y),6,N,Y,0.5571,0.9210,3,O, 
62,15,Y (Y),6,N,Y,0.5464,0.8421,3,O, 
63,15,Y (Y),6,N,Y,0.5428,0.9736,3,O, 
64,15,Y (Y),6,N,Y,0.5428,0.8157,3,O, 
65,15,Y (Y),6,N,Y,0.5392,0.9736,3,O, 
