순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (N),6,Y,Y,0.9523,0.8421,4,O, 
1,18,Y (N),6,Y,Y,0.9523,0.8421,4,O, 
2,18,Y (Y),6,Y,Y,0.8571,0.7894,4,O, 
3,18,Y (N),6,N,Y,0.8814,0.7894,4,O, 
4,18,Y (Y),6,N,Y,0.8000,0.9473,4,O, 
5,18,Y (N),6,N,Y,0.7539,0.9736,3,O, 
6,18,Y (Y),6,N,Y,0.7500,0.9473,3,O, 
7,18,Y (Y),6,N,Y,0.7357,1.0000,3,O, 
8,18,Y (Y),6,N,Y,0.7071,1.0000,3,O, 
9,18,Y (N),6,N,Y,0.7037,1.0000,3,O, 
10,18,Y (N),6,N,Y,0.7000,1.0000,3,O, 
11,18,Y (Y),6,N,Y,0.6857,1.0000,3,O, 
12,18,Y (Y),6,N,Y,0.6785,1.0000,3,O, 
13,18,Y (Y),6,N,Y,0.6785,1.0000,3,O, 
14,18,Y (Y),6,N,Y,0.6785,0.9736,3,O, 
15,18,Y (Y),6,N,Y,0.6785,0.9473,3,O, 
16,18,Y (Y),6,N,Y,0.6785,0.9473,3,O, 
17,18,Y (N),6,N,Y,0.6750,0.8157,3,O, 
18,18,Y (Y),6,N,Y,0.6714,0.8421,4,O, 
19,18,Y (Y),6,N,Y,0.6678,0.9473,3,O, 
20,18,Y (Y),6,N,Y,0.6571,0.9473,3,O, 
21,18,Y (Y),6,N,Y,0.6500,0.9736,3,O, 
22,18,Y (Y),6,N,Y,0.6500,0.7894,3,O, 
23,18,Y (Y),6,N,Y,0.6428,0.9736,3,O, 
24,18,Y (Y),6,N,Y,0.6357,1.0000,3,O, 
25,18,Y (Y),6,N,Y,0.6357,0.9473,3,O, 
26,18,Y (Y),6,N,Y,0.6321,1.0000,3,O, 
27,18,Y (Y),6,N,Y,0.6285,0.9473,3,O, 
28,18,Y (Y),6,N,Y,0.6285,0.8157,3,O, 
29,18,Y (Y),6,N,Y,0.6285,0.7894,3,O, 
30,18,Y (Y),6,N,Y,0.6250,0.9210,3,O, 
31,18,Y (Y),6,N,Y,0.6214,0.8157,3,O, 
32,18,Y (Y),6,N,Y,0.6071,0.9473,3,O, 
33,18,Y (Y),6,N,Y,0.6071,0.9473,3,O, 
34,18,Y (Y),6,N,Y,0.5928,0.6315,4,O, 
35,18,Y (Y),6,N,Y,0.5714,0.9736,3,O, 
36,18,Y (Y),6,N,Y,0.5714,0.9736,3,O, 
37,18,Y (Y),6,N,Y,0.5250,0.1578,3,O, 
38,18,Y (Y),6,N,Y,0.5178,0.7894,3,O, 
39,18,Y (Y),6,N,Y,0.4964,0.9736,3,O, 
40,18,Y (Y),6,N,Y,0.4785,0.9736,3,O, 
41,18,Y (Y),6,N,Y,0.4464,1.0000,3,X, 
42,18,Y (Y),6,N,Y,0.4321,0.9736,2,X, 
43,18,Y (Y),6,N,Y,0.4178,1.0000,2,X, 
44,18,Y (Y),6,N,Y,0.4107,0.9736,2,X, 
45,18,Y (Y),6,N,Y,0.4035,0.9736,2,X, 
46,18,Y (Y),6,N,Y,0.3964,0.9736,2,X, 
47,18,Y (Y),6,N,Y,0.3928,0.8157,3,X, 
48,18,Y (Y),5,N,Y,0.9142,0.8157,4,X, 
49,17,Y (Y),6,N,Y,0.6214,0.9473,3,X, 
50,16,Y (Y),6,N,Y,0.6571,1.0000,3,X, 
51,16,Y (Y),6,N,Y,0.5071,0.6578,3,X, 
52,16,Y (Y),5,N,Y,0.4750,0.9736,3,X, 
53,13,Y (Y),6,N,Y,0.7071,1.0000,3,X, 
54,12,Y (Y),6,Y,Y,0.9214,0.7894,4,X, 
55,12,Y (Y),6,N,Y,0.7071,0.9736,3,X, 
56,12,Y (Y),6,N,Y,0.6821,1.0000,3,X, 
57,12,Y (Y),6,N,Y,0.6607,0.9736,3,X, 
58,12,Y (Y),6,N,Y,0.5250,0.9473,3,X, 
59,11,Y (Y),6,N,Y,0.7000,0.9473,3,X, 
60,10,Y (Y),6,N,Y,0.5214,0.9736,3,X, 
61,5,Y (Y),6,N,Y,0.6928,0.9736,3,X, 
62,2,Y (N),6,Y,Y,0.9841,0.9473,4,X, 
63,1,Y (Y),6,Y,Y,1.0000,1.0000,4,X, 
64,1,Y (Y),6,Y,Y,0.9142,0.8421,4,X, 
65,1,Y (Y),6,N,Y,0.7107,1.0000,3,X, 
66,1,Y (Y),6,N,Y,0.6535,0.9736,3,X, 
67,1,Y (Y),6,N,Y,0.6000,0.9473,3,X, 
