순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,N (N),5,N,Y,0.8814,0.7894,4,O, 
1,25,N (N),5,N,Y,0.8814,0.7894,4,O, 
2,16,N (N),6,N,Y,0.5259,1.0000,3,O, 
3,15,N (N),6,N,Y,0.5555,0.8947,3,O, 
4,12,N (N),6,N,Y,0.5000,0.8881,3,O, 
5,12,N (N),6,N,N,0.8296,1.0000,4,O, 
6,9,N (N),3,N,Y,1.0000,0.8888,4,O, 
7,8,N (N),6,N,Y,0.5888,1.0000,2,O, 
8,7,N (N),6,N,Y,0.6629,0.8947,3,O, 
9,7,N (N),6,N,Y,0.4814,0.8157,3,O, 
10,6,N (N),6,N,Y,0.6814,1.0000,4,O, 
11,6,N (N),6,N,Y,0.2888,1.0000,2,O, 
12,6,N (N),6,N,N,0.7703,0.8421,4,O, 
13,5,N (N),6,N,Y,0.5000,1.0000,3,O, 
14,5,N (N),6,N,Y,0.2851,1.0000,2,O, 
15,5,N (N),6,N,Y,0.2851,0.9736,2,O, 
16,4,N (N),6,N,Y,0.2888,1.0000,2,X, 
17,4,N (N),6,N,N,0.8000,1.0000,4,X, 
18,3,N (N),6,N,Y,0.4555,1.0000,2,X, 
19,1,N (N),6,N,Y,0.6500,1.0000,3,X, 
20,1,N (N),6,N,Y,0.6074,0.8421,4,X, 
0,12,N (N),5,N,N,0.8518,1.0000,4,O,* 
