순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,Y (N),6,N,Y,0.8214,0.8947,4,O, 
1,20,Y (N),6,N,Y,0.8214,0.8947,4,O, 
2,20,Y (Y),6,N,Y,0.5428,0.8684,3,O, 
3,18,Y (N),6,N,Y,0.9851,1.0000,4,O, 
4,17,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
5,16,Y (Y),6,N,Y,0.5571,0.9736,3,O, 
6,16,N (N),6,N,Y,0.7851,0.7894,4,O, 
7,16,N (N),5,N,Y,0.8814,0.6315,4,O, 
8,15,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
9,15,Y (Y),6,N,Y,0.2000,0.8157,2,O, 
10,14,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
11,14,Y (Y),6,N,Y,0.3678,0.9210,2,O, 
12,14,Y (Y),6,N,Y,0.3071,1.0000,2,O, 
13,14,Y (Y),5,N,Y,0.2428,0.8421,2,O, 
14,12,Y (N),6,N,Y,0.7925,1.0000,4,O, 
15,12,Y (Y),6,N,Y,0.5500,0.8684,3,O, 
16,12,Y (Y),6,N,Y,0.2428,0.8947,2,O, 
17,11,Y (Y),6,N,Y,0.3074,1.0000,2,O, 
18,10,Y (Y),6,N,Y,0.3814,0.9736,2,O, 
19,10,Y (Y),6,N,Y,0.3214,1.0000,2,O, 
20,10,Y (Y),6,N,Y,0.2750,0.9736,2,O, 
21,10,Y (Y),6,N,Y,0.1785,0.4210,2,O, 
22,10,Y (Y),5,N,Y,0.2964,0.6315,2,O, 
23,9,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
24,9,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
25,9,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
26,8,Y (N),6,N,Y,0.8222,0.8611,4,O, 
27,8,Y (Y),6,N,Y,0.2785,0.6842,2,O, 
28,8,Y (Y),6,N,Y,0.2357,1.0000,2,O, 
29,7,Y (Y),6,N,Y,0.4111,1.0000,2,O, 
30,7,Y (Y),6,N,Y,0.2928,1.0000,2,X, 
31,6,Y (Y),6,N,Y,0.5928,0.9210,3,X, 
32,6,Y (Y),6,N,Y,0.4259,1.0000,2,X, 
33,6,Y (Y),6,N,Y,0.1928,0.8947,2,X, 
34,5,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
35,5,Y (Y),6,N,Y,0.2571,0.8421,2,X, 
36,5,Y (Y),6,N,Y,0.2357,0.8421,2,X, 
37,4,Y (Y),6,N,Y,0.3892,0.8157,2,X, 
38,3,Y (Y),6,N,Y,0.2642,0.8947,2,X, 
39,1,Y (Y),5,N,Y,0.7000,0.7894,4,X, 
0,12,Y (Y),6,N,Y,0.2571,1.0000,2,O,* 
