순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,Y,0.5259,0.7105,3,O, 
1,12,N (N),6,N,Y,0.5259,0.7105,3,O, 
2,10,N (N),5,Y,Y,0.9333,0.8947,4,O, 
3,6,N (N),6,Y,Y,0.8666,0.8421,4,O, 
4,3,N (N),6,Y,Y,0.8814,0.8947,4,O, 
5,3,N (N),6,N,Y,0.6888,1.0000,3,O, 
6,3,N (N),6,N,Y,0.4037,0.9210,2,O, 
7,2,N (N),6,N,Y,0.5000,0.8881,3,O, 
8,2,N (N),6,N,Y,0.4037,1.0000,2,O, 
9,1,N (N),6,N,Y,0.6814,0.6842,3,O, 
10,1,N (N),6,N,Y,0.5777,1.0000,3,O, 
11,1,N (N),6,N,Y,0.5629,0.5526,3,O, 
12,1,N (N),6,N,Y,0.5111,0.8421,3,O, 
13,1,N (N),6,N,Y,0.4592,1.0000,3,O, 
