순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),1,N,Y,0.9841,1.0000,4,O, 
1,36,N (N),1,N,Y,0.9841,1.0000,4,O, 
2,30,N (N),3,N,Y,1.0000,1.0000,4,O, 
3,27,N (N),3,Y,Y,0.9629,0.4736,4,O, 
4,26,N (N),5,N,Y,0.8075,0.8333,4,O, 
5,25,N (N),4,N,Y,0.7777,0.9473,4,O, 
6,20,N (N),6,N,Y,0.7925,0.9736,3,O, 
7,20,N (N),6,N,Y,0.7916,0.8333,4,O, 
8,18,N (N),6,N,Y,0.8148,0.9473,4,O, 
9,18,N (N),6,N,Y,0.7629,0.7894,4,O, 
10,16,N (N),6,N,Y,0.5317,0.8611,3,O, 
11,16,N (N),6,N,Y,0.4087,0.8611,2,O, 
12,15,N (N),5,N,Y,1.0000,0.6666,4,O, 
13,15,N (N),5,N,Y,0.6269,1.0000,3,O, 
14,15,N (N),4,N,Y,0.8962,0.8333,4,O, 
15,13,N (N),6,N,Y,0.6428,1.0000,3,O, 
16,12,N (N),5,N,Y,0.9047,1.0000,4,O, 
17,11,N (N),6,Y,Y,0.8888,1.0000,4,O, 
18,11,N (N),6,N,Y,0.8134,1.0000,4,O, 
19,10,N (N),6,N,Y,0.3412,1.0000,2,O, 
20,10,N (N),5,N,Y,0.9761,1.0000,4,O, 
21,8,N (N),6,N,Y,0.3928,1.0000,2,O, 
22,8,N (N),6,N,Y,0.2777,0.8888,2,O, 
23,8,N (N),5,N,Y,0.2619,0.8888,2,O, 
24,7,N (N),6,N,Y,0.8095,0.8333,4,O, 
25,7,N (N),6,N,Y,0.7777,0.9473,4,O, 
26,7,N (N),6,N,Y,0.7222,0.8333,3,O, 
27,6,N (N),6,Y,Y,0.8888,0.8333,4,O, 
28,6,N (N),6,N,Y,0.5333,0.8421,3,O, 
29,5,N (N),6,Y,Y,1.0000,1.0000,4,O, 
30,5,N (N),6,N,Y,0.7142,0.8333,4,O, 
31,5,N (N),6,N,Y,0.5407,0.9473,4,O, 
32,5,N (N),6,N,Y,0.3333,1.0000,2,O, 
33,5,N (N),6,N,Y,0.3333,1.0000,2,O, 
34,5,N (N),6,N,Y,0.2460,0.8888,2,O, 
35,5,N (N),6,N,Y,0.2111,0.6842,2,O, 
36,4,N (N),6,N,Y,0.2539,0.8333,2,O, 
37,3,N (N),6,N,Y,0.5185,0.7105,3,O, 
38,3,N (N),6,N,N,0.8333,0.8333,4,O, 
39,3,N (N),5,N,Y,0.8740,0.9473,4,O, 
40,2,N (N),6,N,Y,0.9206,0.6666,4,O, 
41,2,N (N),6,N,Y,0.6184,1.0000,2,O, 
42,2,N (N),6,N,Y,0.5259,0.7631,3,O, 
43,2,N (N),6,N,Y,0.2857,1.0000,2,O, 
44,2,N (N),6,N,N,0.7142,1.0000,3,O, 
45,1,N (N),6,Y,Y,0.7555,0.9736,4,O, 
46,1,N (N),6,N,Y,0.8814,0.9473,4,O, 
47,1,N (N),6,N,Y,0.6666,0.9722,3,O, 
48,1,N (N),6,N,Y,0.5074,0.9736,3,O, 
49,1,N (N),6,N,Y,0.4962,0.7105,3,O, 
50,1,N (N),6,N,Y,0.2857,0.9444,2,O, 
