순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
1,12,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
2,12,Y (Y),6,Y,Y,0.8809,0.8611,4,O, 
3,12,Y (Y),6,Y,Y,0.8571,1.0000,4,O, 
4,12,Y (Y),6,Y,Y,0.8412,1.0000,4,O, 
5,12,Y (Y),6,Y,N,1.0000,1.0000,4,O, 
6,12,Y (Y),6,N,Y,0.8730,1.0000,4,O, 
7,12,Y (Y),6,N,Y,0.8714,1.0000,4,O, 
8,12,Y (Y),6,N,Y,0.8642,1.0000,4,O, 
9,12,Y (Y),6,N,Y,0.8412,1.0000,4,O, 
10,12,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
11,12,Y (Y),6,N,Y,0.8285,1.0000,4,O, 
12,12,Y (Y),6,N,Y,0.8142,1.0000,4,O, 
13,12,Y (Y),6,N,Y,0.8015,0.8333,4,O, 
14,12,Y (Y),6,N,Y,0.7777,0.8333,4,X, 
15,12,Y (Y),6,N,Y,0.7738,0.8888,4,X, 
16,12,Y (Y),6,N,Y,0.7460,1.0000,3,O, 
17,12,Y (Y),6,N,Y,0.7460,0.7222,3,O, 
18,12,Y (Y),6,N,Y,0.7380,0.8333,4,X, 
19,12,Y (Y),6,N,Y,0.7380,0.8333,3,O, 
20,12,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
21,12,Y (Y),6,N,Y,0.6904,0.8333,3,O, 
22,12,Y (Y),6,N,Y,0.6825,1.0000,4,X, 
23,12,Y (Y),6,N,Y,0.6746,1.0000,3,O, 
24,12,Y (Y),6,N,Y,0.6746,0.8888,4,X, 
25,12,Y (Y),6,N,Y,0.6518,1.0000,3,O, 
26,12,Y (Y),6,N,Y,0.6388,0.8611,3,O, 
27,12,Y (Y),6,N,Y,0.6000,1.0000,3,O, 
28,12,Y (Y),6,N,Y,0.5912,0.6666,3,O, 
