순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,Y,Y,0.9555,0.9473,4,O, 
1,18,Y (Y),6,Y,Y,0.9555,0.9473,4,O, 
2,18,Y (Y),6,Y,Y,0.8740,0.9473,4,O, 
3,18,Y (Y),6,Y,Y,0.8650,1.0000,4,O, 
4,18,Y (Y),6,N,Y,0.8412,1.0000,4,O, 
5,18,Y (Y),6,N,Y,0.7936,1.0000,4,O, 
6,18,Y (Y),6,N,Y,0.7857,0.8888,4,O, 
7,18,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
8,18,Y (Y),6,N,Y,0.6904,0.9444,4,O, 
9,18,Y (Y),6,N,Y,0.6428,0.6666,3,O, 
10,18,Y (Y),6,N,Y,0.6111,0.8333,3,O, 
11,18,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
12,18,Y (Y),6,N,Y,0.5000,1.0000,3,O, 
13,18,Y (Y),6,N,Y,0.4960,1.0000,3,O, 
14,18,Y (Y),6,N,Y,0.4484,0.6666,3,O, 
15,18,Y (Y),6,N,Y,0.3849,0.8611,2,O, 
16,18,Y (Y),6,N,Y,0.2857,0.8888,2,O, 
17,18,Y (Y),5,N,Y,0.5912,1.0000,3,O, 
18,18,Y (Y),4,Y,Y,0.8095,0.3333,4,O, 
19,18,Y (Y),4,N,Y,0.9285,0.8333,4,O, 
20,18,Y (Y),4,N,Y,0.7500,0.8750,4,O, 
21,18,Y (Y),4,N,Y,0.7142,0.6666,4,O, 
22,18,Y (Y),2,N,Y,0.9555,0.7368,4,O, 
23,18,N (N),6,Y,Y,0.8962,0.9473,4,O, 
24,18,N (N),6,N,Y,0.6984,1.0000,3,O, 
25,18,N (N),5,N,Y,0.5111,0.9473,3,O, 
26,18,N (N),4,N,Y,0.8849,0.8333,4,O, 
27,17,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
28,17,Y (Y),6,N,Y,0.2539,0.6111,2,O, 
29,17,Y (Y),5,N,Y,0.7698,1.0000,4,O, 
30,16,Y (Y),6,N,Y,0.8472,0.8333,4,O, 
31,16,Y (Y),6,N,Y,0.7698,0.8611,4,O, 
32,16,Y (Y),6,N,Y,0.6845,0.8333,3,O, 
33,16,Y (Y),6,N,Y,0.6428,1.0000,4,O, 
34,16,Y (Y),6,N,Y,0.2777,0.8611,2,O, 
35,16,Y (Y),5,N,Y,0.8214,0.9722,4,O, 
36,15,Y (Y),6,N,Y,0.8849,0.8611,4,O, 
37,15,Y (Y),6,N,Y,0.8571,1.0000,4,O, 
38,15,Y (Y),6,N,Y,0.7777,0.8333,4,O, 
39,15,Y (Y),6,N,Y,0.7380,1.0000,4,O, 
40,15,Y (Y),6,N,Y,0.6468,0.8333,3,O, 
41,15,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
42,15,Y (Y),5,N,Y,0.8412,1.0000,4,O, 
43,15,N (N),6,N,Y,0.7142,0.8333,3,O, 
44,14,Y (Y),6,N,Y,0.5481,0.9736,3,O, 
45,14,N (N),5,N,Y,1.0000,1.0000,4,O, 
46,13,Y (Y),6,N,Y,0.5714,0.9722,3,O, 
47,13,Y (Y),5,N,Y,0.8253,0.8888,4,O, 
48,13,N (N),6,N,Y,0.8174,0.8333,4,O, 
49,13,N (N),6,N,Y,0.5476,1.0000,3,O, 
50,12,Y (Y),6,N,Y,0.8809,0.6666,4,O, 
51,12,Y (Y),6,N,Y,0.7259,1.0000,3,O, 
