순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,N,Y,0.7936,0.5000,4,O, 
1,18,Y (Y),6,N,Y,0.7936,0.5000,4,O, 
2,18,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
3,18,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
4,18,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
5,18,Y (Y),6,N,Y,0.3888,0.8611,2,O, 
6,18,Y (Y),4,Y,N,0.9285,0.8333,4,O, 
7,18,N (N),6,Y,Y,1.0000,0.8611,4,O, 
8,18,N (N),6,Y,Y,0.9682,0.8888,4,O, 
9,18,N (N),6,Y,Y,0.9185,0.7894,4,O, 
10,18,N (N),6,Y,Y,0.8809,0.8888,4,O, 
11,18,N (N),6,Y,Y,0.8730,0.3333,4,O, 
12,18,N (N),6,Y,Y,0.8333,0.8333,4,O, 
13,18,N (N),6,N,Y,0.8412,1.0000,4,O, 
14,18,N (N),6,N,Y,0.8333,0.8333,4,O, 
15,18,N (N),6,N,Y,0.7777,0.8333,4,O, 
16,18,N (N),6,N,Y,0.7619,1.0000,3,O, 
17,18,N (N),6,N,Y,0.7460,1.0000,4,X, 
18,18,N (N),6,N,Y,0.7380,1.0000,3,X, 
19,18,N (N),6,N,Y,0.7301,0.8611,3,X, 
20,18,N (N),6,N,Y,0.6984,0.8333,3,X, 
21,18,N (N),6,N,Y,0.6962,0.7894,4,X, 
22,18,N (N),6,N,Y,0.6904,0.8333,3,X, 
23,18,N (N),6,N,Y,0.5674,1.0000,3,X, 
24,18,N (N),6,N,Y,0.5595,1.0000,2,X, 
25,18,N (N),6,N,Y,0.4722,1.0000,3,X, 
26,18,N (N),6,N,Y,0.4407,0.8684,2,X, 
27,18,N (N),5,Y,Y,0.8809,0.6666,4,X, 
28,18,N (N),4,Y,Y,0.9047,1.0000,4,X, 
29,18,N (N),4,N,Y,0.7619,1.0000,3,X, 
30,18,N (N),4,N,Y,0.5714,0.6944,3,X, 
31,16,Y (Y),6,N,Y,0.6944,1.0000,3,O, 
32,16,Y (Y),6,N,Y,0.6071,0.8611,3,O, 
33,16,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
34,16,N (N),6,N,Y,0.8095,0.6666,4,X, 
35,15,Y (Y),6,N,Y,0.8293,0.8333,4,O, 
36,14,N (N),6,N,Y,0.5198,0.6944,3,X, 
37,13,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
38,13,N (N),6,Y,Y,0.9841,1.0000,4,X, 
39,13,N (N),6,N,Y,0.7460,1.0000,3,X, 
40,13,N (N),6,N,Y,0.5198,1.0000,2,X, 
41,12,Y (Y),6,N,Y,0.6190,0.8333,3,O, 
42,12,Y (Y),6,N,Y,0.5555,0.8611,3,O, 
43,12,N (N),6,Y,Y,1.0000,0.5000,4,X, 
44,12,N (N),6,N,Y,0.7925,1.0000,3,X, 
45,12,N (N),6,N,Y,0.7619,1.0000,3,X, 
46,12,N (N),3,N,Y,0.6035,0.6315,3,X, 
47,10,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
48,10,N (N),6,N,Y,0.9365,0.7857,4,X, 
49,10,N (N),6,N,Y,0.7619,0.3333,4,X, 
50,9,Y (Y),6,Y,Y,0.8968,1.0000,4,O, 
51,9,Y (Y),6,N,Y,0.4880,0.8333,3,O, 
52,8,Y (Y),6,N,N,0.4880,0.8611,2,O, 
53,8,N (N),6,N,Y,0.6746,0.8333,3,X, 
54,7,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
55,7,N (N),6,N,Y,0.7142,1.0000,3,X, 
56,7,N (N),6,N,Y,0.7142,1.0000,3,X, 
57,6,Y (Y),6,N,Y,0.5595,1.0000,3,O, 
58,6,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
59,6,Y (Y),6,N,Y,0.4007,0.8611,2,O, 
60,5,N (N),6,Y,Y,0.8650,0.6666,4,X, 
61,5,N (N),6,N,Y,0.7619,0.7500,4,X, 
62,5,N (N),6,N,Y,0.7301,1.0000,3,X, 
63,5,N (N),5,N,Y,0.6825,0.8333,3,X, 
64,4,Y (Y),6,N,Y,0.4960,0.7777,3,O, 
65,4,N (N),6,N,Y,0.8492,1.0000,3,X, 
66,4,N (N),6,N,Y,0.7936,1.0000,3,X, 
67,3,N (N),6,N,Y,0.7698,0.8611,3,X, 
68,3,N (N),6,N,Y,0.6904,1.0000,3,X, 
69,2,Y (Y),6,N,Y,0.6468,0.8611,3,O, 
70,2,Y (Y),5,N,Y,0.8095,0.8333,4,O, 
71,2,N (N),6,Y,Y,0.8814,0.9473,4,X, 
72,2,N (N),6,N,Y,0.7936,0.8333,4,X, 
73,2,N (N),6,N,Y,0.6984,1.0000,3,X, 
74,2,N (N),6,N,Y,0.4484,1.0000,2,X, 
75,1,Y (Y),6,N,Y,0.5476,1.0000,3,O, 
76,1,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
77,1,N (N),6,Y,Y,0.9365,0.8333,4,X, 
78,1,N (N),6,N,Y,0.7936,0.6666,4,X, 
79,1,N (N),6,N,Y,0.6984,1.0000,3,X, 
80,1,N (N),6,N,Y,0.6666,0.8611,3,X, 
81,1,N (N),6,N,Y,0.6468,1.0000,3,X, 
82,1,N (N),6,N,Y,0.5992,0.6944,3,X, 
83,1,N (N),6,N,Y,0.4888,0.8684,3,X, 
