순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,22,N (N),1,N,Y,0.7500,0.8881,4,O, 
1,22,N (N),1,N,Y,0.7500,0.8881,4,O, 
2,15,Y (Y),5,N,Y,0.7936,0.6666,4,O, 
3,15,N (N),6,N,Y,0.8000,0.7894,4,O, 
4,13,N (N),6,N,Y,0.3333,0.7894,2,O, 
5,8,Y (Y),6,N,Y,0.2579,0.8611,2,O, 
6,6,Y (Y),5,N,Y,0.6884,0.8611,3,O, 
7,3,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
8,3,Y (Y),5,N,Y,0.5357,1.0000,3,O, 
9,2,Y (Y),6,Y,Y,0.9444,1.0000,4,O, 
10,2,Y (Y),6,N,Y,0.2539,0.7222,2,O, 
11,2,N (N),6,N,Y,0.2857,1.0000,2,O, 
12,1,Y (Y),6,N,Y,0.8650,0.8333,4,O, 
13,1,Y (Y),6,N,Y,0.8015,1.0000,4,O, 
14,1,Y (Y),6,N,Y,0.7936,0.6666,4,O, 
15,1,Y (Y),6,N,Y,0.7063,0.8333,4,O, 
16,1,Y (Y),6,N,Y,0.6567,1.0000,3,O, 
17,1,Y (Y),6,N,Y,0.5396,1.0000,4,O, 
18,1,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
19,1,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
20,1,Y (Y),5,N,Y,1.0000,0.8333,4,O, 
