순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7333,0.7894,3,O, 
1,36,Y (Y),6,N,Y,0.7333,0.7894,3,O, 
2,31,Y (Y),6,N,Y,0.5357,0.8333,3,O, 
3,22,Y (Y),6,N,Y,0.8492,0.8333,4,O, 
4,21,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
5,20,Y (Y),6,N,Y,0.8888,1.0000,4,O, 
6,18,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
7,11,Y (Y),6,N,Y,0.8650,1.0000,4,O, 
8,11,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
9,10,Y (Y),6,N,Y,0.9047,1.0000,4,O, 
10,8,Y (Y),6,N,Y,0.8333,1.0000,3,O, 
11,3,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
12,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.8253,1.0000,4,O, 
14,1,Y (Y),6,N,Y,0.7936,0.8611,4,O, 
15,1,Y (Y),6,N,Y,0.7777,0.8611,4,O, 
16,1,Y (Y),5,N,Y,0.6269,0.8888,3,X, 
