순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,0.8333,4,O, 
1,36,N (N),6,Y,Y,1.0000,0.8333,4,O, 
2,17,Y (N),6,N,Y,0.9682,1.0000,4,O, 
3,10,Y (N),6,Y,Y,0.9682,0.9444,4,O, 
4,6,Y (Y),6,N,Y,0.5634,0.8611,3,O, 
5,5,Y (Y),6,N,Y,0.7777,1.0000,4,O, 
6,5,Y (Y),6,N,Y,0.7698,0.8611,4,O, 
7,4,Y (Y),6,N,Y,0.7063,0.8333,3,O, 
8,3,Y (Y),6,N,Y,0.6269,0.8611,3,O, 
9,3,Y (Y),6,N,Y,0.6111,0.6666,3,O, 
10,2,Y (Y),6,N,Y,0.8869,0.6666,4,O, 
11,1,Y (Y),6,N,Y,0.8412,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.8095,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.7698,0.7222,4,O, 
14,1,Y (N),6,N,Y,0.5158,1.0000,3,O, 
15,1,Y (Y),5,Y,Y,0.8968,0.8888,4,O, 
16,1,Y (Y),5,N,Y,0.3690,0.8611,2,O, 
17,1,N (N),6,N,Y,0.9900,1.0000,4,O, 
