순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
1,15,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
2,8,N (N),6,N,Y,0.8148,0.7894,4,O, 
3,6,Y (Y),5,N,Y,0.8142,1.0000,4,O, 
4,5,N (N),6,N,Y,0.8253,1.0000,4,O, 
5,5,N (N),6,N,Y,0.2936,1.0000,2,O, 
6,1,Y (Y),6,Y,N,0.8214,1.0000,4,O, 
7,1,Y (Y),6,N,Y,0.8142,0.9473,4,O, 
8,1,Y (Y),6,N,Y,0.7285,0.5263,4,O, 
9,1,N (N),6,Y,Y,0.8849,1.0000,4,O, 
10,1,N (N),6,N,Y,0.8095,1.0000,4,O, 
11,1,N (N),6,N,Y,0.8015,1.0000,4,O, 
12,1,N (N),6,N,Y,0.6468,1.0000,3,O, 
13,1,N (N),6,N,Y,0.4603,1.0000,2,O, 
14,1,N (N),6,N,Y,0.2817,1.0000,2,O, 
