순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),1,Y,Y,0.9785,0.9473,4,O, 
1,36,N (N),1,Y,Y,0.9785,0.9473,4,O, 
2,28,N (N),6,N,Y,0.2178,0.7368,2,O, 
3,25,N (N),6,N,Y,0.2178,0.7368,2,O, 
4,20,N (N),6,N,Y,0.2500,0.9210,2,O, 
5,15,N (N),6,N,Y,0.2642,0.9210,2,O, 
6,10,N (N),6,N,Y,0.2642,0.9736,2,O, 
7,8,N (N),6,N,Y,0.2428,0.9473,2,O, 
8,7,N (N),6,N,Y,0.2785,1.0000,2,O, 
9,7,N (N),6,N,Y,0.2714,1.0000,2,O, 
10,5,N (N),6,N,Y,0.7642,0.9473,4,O, 
11,5,N (N),6,N,Y,0.2500,0.9210,2,O, 
12,4,N (N),5,N,Y,0.7928,0.7894,4,O, 
13,2,N (N),6,N,Y,0.7857,0.8947,4,O, 
14,2,N (N),6,N,Y,0.5178,1.0000,3,O, 
15,2,N (N),6,N,Y,0.2785,1.0000,2,O, 
16,2,N (N),6,N,Y,0.2714,0.9736,2,O, 
17,2,N (N),6,N,Y,0.2678,0.9736,2,O, 
18,2,N (N),6,N,Y,0.2571,1.0000,2,O, 
19,1,N (N),6,Y,Y,0.9285,0.9444,4,O, 
20,1,N (N),6,N,Y,0.9607,1.0000,4,O, 
21,1,N (N),6,N,Y,0.8000,0.9473,4,O, 
22,1,N (N),6,N,Y,0.8000,0.9473,4,O, 
23,1,N (N),6,N,Y,0.7928,0.9473,4,O, 
24,1,N (N),6,N,Y,0.7785,0.9473,4,O, 
25,1,N (N),6,N,Y,0.7571,0.9210,4,O, 
26,1,N (N),6,N,Y,0.7285,0.5263,4,O, 
27,1,N (N),6,N,Y,0.5035,0.8684,3,O, 
28,1,N (N),6,N,Y,0.4607,0.8684,3,O, 
29,1,N (N),6,N,Y,0.3142,1.0000,2,O, 
30,1,N (N),6,N,Y,0.2928,1.0000,2,O, 
31,1,N (N),6,N,Y,0.2928,1.0000,2,O, 
32,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
33,1,N (N),6,N,Y,0.2785,1.0000,2,O, 
34,1,N (N),6,N,Y,0.2785,1.0000,2,O, 
35,1,N (N),6,N,Y,0.2750,1.0000,2,O, 
36,1,N (N),6,N,Y,0.2714,0.9736,2,O, 
37,1,N (N),6,N,Y,0.2642,0.9736,2,O, 
38,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
39,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
40,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
41,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
42,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
43,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
44,1,N (N),6,N,Y,0.2607,1.0000,2,O, 
45,1,N (N),6,N,Y,0.2607,0.8947,2,O, 
46,1,N (N),6,N,Y,0.2571,1.0000,2,O, 
47,1,N (N),6,N,Y,0.2571,1.0000,2,O, 
48,1,N (N),6,N,Y,0.2571,0.9210,2,O, 
49,1,N (N),6,N,Y,0.2571,0.8684,2,O, 
50,1,N (N),6,N,Y,0.2571,0.8684,2,O, 
51,1,N (N),6,N,Y,0.2571,0.8684,2,O, 
52,1,N (N),6,N,Y,0.2535,1.0000,2,O, 
53,1,N (N),6,N,Y,0.2500,0.9736,2,O, 
54,1,N (N),6,N,Y,0.2500,0.8684,2,O, 
55,1,N (N),6,N,Y,0.2464,0.9473,2,O, 
56,1,N (N),6,N,Y,0.2464,0.9473,2,O, 
57,1,N (N),6,N,Y,0.2464,0.8947,2,O, 
58,1,N (N),6,N,Y,0.2464,0.8947,2,O, 
59,1,N (N),6,N,Y,0.2428,0.8157,2,O, 
60,1,N (N),6,N,Y,0.2428,0.7894,2,O, 
61,1,N (N),6,N,Y,0.2428,0.7894,2,O, 
62,1,N (N),6,N,Y,0.2392,0.8947,2,O, 
63,1,N (N),6,N,Y,0.2392,0.7894,2,O, 
64,1,N (N),6,N,Y,0.2357,0.8157,2,O, 
65,1,N (N),6,N,Y,0.2285,0.8684,2,O, 
66,1,N (N),6,N,Y,0.2285,0.7631,2,O, 
67,1,N (N),6,N,Y,0.2250,0.9210,2,O, 
68,1,N (N),6,N,Y,0.2250,0.9210,2,O, 
69,1,N (N),6,N,Y,0.2214,0.7368,2,O, 
70,1,N (N),6,N,Y,0.2071,0.9473,2,O, 
71,1,N (N),6,N,Y,0.1642,0.3684,2,O, 
72,1,N (N),6,N,Y,0.1285,0.7368,2,O, 
73,1,N (N),5,N,Y,0.2642,0.9210,2,O, 
