순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,N (N),6,N,Y,0.8107,1.0000,4,O, 
1,15,N (N),6,N,Y,0.8107,1.0000,4,O, 
2,3,N (N),6,N,Y,0.8357,1.0000,4,O, 
3,3,N (N),6,N,Y,0.6821,1.0000,3,O, 
4,2,N (N),6,N,Y,0.5000,1.0000,3,O, 
5,2,N (N),6,N,Y,0.2857,1.0000,2,O, 
6,2,N (N),6,N,N,0.6642,0.9736,4,O, 
7,1,N (N),6,N,Y,0.7481,0.7894,4,O, 
8,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
9,1,N (N),6,N,Y,0.6315,0.8750,2,O, 
10,1,N (N),6,N,Y,0.6074,0.8421,4,O, 
11,1,N (N),6,N,Y,0.2740,1.0000,2,O, 
12,1,N (N),6,N,N,0.3285,0.6842,3,O, 
13,1,N (N),6,N,N,0.0714,0.5263,2,O, 
