순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),1,Y,Y,1.0000,0.7368,4,O, 
1,36,N (N),1,Y,Y,1.0000,0.7368,4,O, 
2,36,N (N),1,Y,Y,1.0000,0.5789,4,O, 
3,36,N (N),1,Y,Y,1.0000,0.5263,4,O, 
4,36,N (N),1,Y,Y,1.0000,0.4210,4,O, 
5,14,N (N),6,N,Y,0.8071,1.0000,4,O, 
6,10,N (N),6,N,Y,0.8000,0.9473,4,O, 
7,10,N (N),6,N,Y,0.7928,1.0000,4,O, 
8,10,N (N),5,N,Y,0.8071,0.8421,4,O, 
9,10,N (N),4,N,Y,0.7928,0.8421,4,O, 
10,5,N (N),6,N,Y,0.5285,1.0000,3,O, 
11,3,N (N),6,N,Y,0.4892,1.0000,3,O, 
12,3,N (N),6,N,Y,0.2571,0.9210,2,O, 
13,2,N (N),6,N,Y,0.5250,1.0000,3,O, 
14,1,N (N),6,Y,Y,1.0000,0.6842,4,O, 
15,1,N (N),6,N,Y,0.9500,1.0000,4,O, 
16,1,N (N),6,N,Y,0.8857,0.7368,4,O, 
17,1,N (N),6,N,Y,0.8500,1.0000,4,O, 
18,1,N (N),6,N,Y,0.8285,0.7368,4,O, 
19,1,N (N),6,N,Y,0.8178,1.0000,4,O, 
20,1,N (N),6,N,Y,0.8071,1.0000,4,O, 
21,1,N (N),6,N,Y,0.8000,0.8947,4,O, 
22,1,N (N),6,N,Y,0.7857,1.0000,4,O, 
23,1,N (N),6,N,Y,0.7142,0.9473,4,O, 
24,1,N (N),6,N,Y,0.5500,1.0000,3,O, 
25,1,N (N),6,N,Y,0.5464,1.0000,3,O, 
26,1,N (N),6,N,Y,0.5142,1.0000,3,O, 
27,1,N (N),6,N,Y,0.4035,0.7368,3,O, 
28,1,N (N),6,N,Y,0.2642,0.9736,2,O, 
29,1,N (N),6,N,Y,0.1642,0.6842,2,O, 
30,1,N (N),5,N,Y,0.8714,0.9473,4,O, 
31,1,N (N),5,N,Y,0.5321,0.8421,3,O, 
32,1,N (N),1,Y,Y,1.0000,0.1052,4,O, 
