순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,N (N),6,N,Y,0.8142,1.0000,4,O, 
1,15,N (N),6,N,Y,0.8142,1.0000,4,O, 
2,10,N (N),6,N,Y,0.8285,1.0000,4,O, 
3,10,N (N),6,N,Y,0.7928,1.0000,4,O, 
4,5,N (N),6,N,Y,0.7928,1.0000,4,O, 
5,5,N (N),6,N,Y,0.7428,1.0000,4,O, 
6,1,N (N),6,N,Y,0.8285,1.0000,4,O, 
7,1,N (N),6,N,Y,0.8142,1.0000,4,O, 
8,1,N (N),6,N,Y,0.8071,1.0000,4,O, 
9,1,N (N),6,N,Y,0.8000,0.8421,4,O, 
10,1,N (N),6,N,Y,0.7642,0.9473,4,O, 
11,1,N (N),6,N,Y,0.7571,0.9473,4,O, 
12,1,N (N),6,N,Y,0.5321,1.0000,3,O, 
