순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.8134,1.0000,3,O, 
1,36,Y (Y),6,N,Y,0.8134,1.0000,3,O, 
2,35,Y (Y),2,N,Y,0.5000,0.8750,3,O, 
3,21,Y (Y),4,N,Y,0.9888,0.6944,4,O, 
4,20,Y (Y),5,N,Y,0.9742,0.7894,4,O, 
5,17,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
6,15,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
7,14,Y (Y),6,N,Y,0.9087,1.0000,4,O, 
8,14,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
9,13,Y (Y),6,N,Y,0.5079,0.8611,3,O, 
10,12,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
11,12,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
12,10,Y (Y),6,N,Y,0.6746,0.9444,3,O, 
13,10,Y (Y),6,N,Y,0.3492,1.0000,2,O, 
14,10,Y (Y),5,N,Y,0.9407,1.0000,4,O, 
15,10,Y (Y),5,N,Y,0.2380,0.8888,2,O, 
16,9,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
17,8,Y (Y),6,N,Y,0.9603,1.0000,4,O, 
18,8,Y (Y),6,N,Y,0.3888,0.6944,2,O, 
19,7,Y (Y),6,Y,Y,0.9603,1.0000,4,O, 
20,7,Y (Y),6,N,Y,0.5357,1.0000,2,O, 
21,7,Y (Y),6,N,Y,0.4206,0.9166,2,O, 
22,7,Y (Y),6,N,Y,0.3134,1.0000,2,O, 
23,7,Y (Y),5,N,Y,0.2420,0.9166,2,O, 
24,5,Y (Y),6,N,Y,0.8015,0.8888,4,O, 
25,5,Y (Y),6,N,Y,0.7460,1.0000,4,X, 
26,5,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
27,5,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
28,5,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
29,5,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
30,5,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
31,5,Y (Y),5,N,Y,0.8730,1.0000,4,X, 
32,4,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
33,4,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
34,4,Y (Y),6,N,Y,0.2658,0.9166,2,O, 
35,3,Y (Y),6,N,Y,0.5674,1.0000,3,O, 
36,3,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
37,3,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
38,3,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
39,2,Y (Y),6,N,Y,0.7460,1.0000,4,X, 
40,2,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
41,2,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
42,2,Y (Y),6,N,Y,0.3055,0.6666,2,O, 
43,2,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
44,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
45,1,Y (Y),6,N,Y,0.5634,1.0000,3,O, 
46,1,Y (Y),6,N,Y,0.4880,1.0000,2,O, 
47,1,Y (Y),6,N,Y,0.2976,1.0000,2,O, 
48,1,Y (Y),6,N,Y,0.2738,0.9166,2,O, 
49,1,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
50,1,Y (Y),5,N,Y,0.2341,0.6944,2,O, 
