순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.8095,1.0000,4,O, 
1,36,Y (Y),6,N,Y,0.8095,1.0000,4,O, 
2,36,Y (Y),2,Y,Y,0.9603,1.0000,4,O, 
3,36,N (N),6,N,Y,0.7555,1.0000,4,X, 
4,36,N (N),6,N,Y,0.6865,1.0000,3,O, 
5,36,N (N),6,N,Y,0.3015,1.0000,2,O, 
6,32,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
7,32,Y (Y),3,Y,Y,0.8690,0.9166,4,X, 
8,31,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
9,30,Y (Y),6,N,Y,0.2539,0.8333,2,O, 
10,27,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
11,27,Y (Y),6,N,Y,0.2817,1.0000,2,O, 
12,26,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
13,26,Y (Y),6,N,Y,0.2976,1.0000,2,O, 
14,26,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
15,26,Y (Y),5,N,Y,0.1468,0.8611,2,O, 
16,25,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
17,25,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
18,24,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
19,23,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
20,23,Y (Y),5,N,Y,0.6746,0.6944,3,O, 
21,22,Y (Y),6,N,Y,0.6706,0.8333,3,O, 
22,22,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
23,22,N (N),6,N,Y,0.3531,1.0000,2,O, 
24,20,Y (Y),6,N,Y,0.4642,0.9722,2,O, 
25,20,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
26,20,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
27,19,Y (Y),6,N,Y,0.4325,0.0000,4,X, 
28,18,Y (Y),6,N,Y,0.3650,1.0000,2,O, 
29,18,N (N),6,N,Y,0.5000,0.8750,3,X, 
30,15,Y (Y),6,N,Y,0.2936,0.8888,2,O, 
31,15,Y (Y),5,N,Y,0.5198,0.7500,3,O, 
32,14,Y (Y),6,N,Y,0.7936,0.8333,4,X, 
33,13,Y (Y),6,N,Y,0.3452,1.0000,2,X, 
34,4,Y (Y),6,N,Y,0.2857,1.0000,2,X, 
35,3,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
36,1,Y (Y),6,Y,Y,0.9285,0.8333,4,X, 
