순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),2,Y,Y,1.0000,0.6666,4,O, 
1,35,Y (Y),2,Y,Y,1.0000,0.6666,4,O, 
2,34,Y (Y),3,Y,Y,0.9629,0.8888,4,O, 
3,27,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
4,24,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
5,15,Y (Y),3,N,Y,0.8650,1.0000,4,O, 
6,11,Y (Y),6,N,Y,0.6507,0.8611,3,O, 
7,9,Y (Y),6,Y,Y,0.9404,1.0000,4,O, 
8,7,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
9,6,Y (Y),6,N,Y,0.5714,0.8611,3,O, 
10,6,Y (Y),6,N,Y,0.5000,0.8611,3,O, 
11,5,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
12,5,Y (Y),5,N,Y,0.8571,0.8333,4,O, 
13,3,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
14,3,Y (Y),6,N,Y,0.8809,1.0000,4,O, 
15,3,Y (Y),6,N,Y,0.8492,0.6666,4,O, 
16,2,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
17,2,Y (Y),6,N,Y,0.7936,0.6666,4,O, 
18,2,Y (Y),6,N,Y,0.6309,1.0000,4,O, 
19,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
20,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
21,1,Y (Y),6,Y,Y,1.0000,0.5000,4,O, 
22,1,Y (Y),6,Y,Y,0.9682,1.0000,4,O, 
23,1,Y (Y),6,N,Y,0.8253,1.0000,4,O, 
24,1,Y (Y),6,N,Y,0.6865,1.0000,3,O, 
25,1,Y (Y),6,N,Y,0.6547,1.0000,3,O, 
26,1,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
