순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,16,Y (Y),5,Y,Y,0.8809,0.8333,4,O, 
1,16,Y (Y),5,Y,Y,0.8809,0.8333,4,O, 
2,13,Y (Y),5,N,Y,0.8095,1.0000,4,O, 
3,10,Y (Y),6,N,Y,0.8968,1.0000,4,O, 
4,10,Y (Y),6,N,Y,0.2698,0.5000,3,O, 
5,6,Y (Y),6,N,Y,0.8650,1.0000,4,O, 
6,5,Y (Y),6,N,Y,0.7851,0.9444,4,O, 
7,5,Y (Y),6,N,Y,0.6884,0.8611,3,O, 
8,5,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
9,5,Y (Y),6,N,Y,0.4920,1.0000,3,O, 
10,5,Y (Y),5,N,Y,0.6904,0.6666,4,O, 
11,4,Y (Y),5,N,Y,0.6269,0.8888,4,O, 
12,3,Y (Y),6,N,Y,0.5079,0.8611,3,O, 
13,2,Y (Y),6,N,Y,0.5666,0.9722,3,O, 
14,2,Y (Y),6,N,Y,0.5079,0.8611,3,O, 
15,1,Y (Y),6,N,Y,0.7936,0.8611,4,O, 
16,1,Y (Y),6,N,Y,0.6845,1.0000,3,O, 
17,1,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
18,1,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
19,1,Y (Y),6,N,Y,0.5436,1.0000,3,O, 
20,1,Y (Y),6,N,Y,0.4925,0.7894,3,O, 
21,1,Y (Y),5,N,Y,0.4325,0.8333,3,O, 
22,1,Y (Y),3,N,Y,0.9325,1.0000,4,O, 
23,1,N (N),6,N,Y,0.5925,0.8157,3,O, 
