순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.8134,0.8888,4,O, 
1,36,Y (Y),6,N,Y,0.8134,0.8888,4,O, 
2,36,Y (Y),6,N,Y,0.7222,1.0000,4,O, 
3,36,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
4,36,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
5,36,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
6,34,Y (Y),4,N,Y,0.8928,0.8333,4,O, 
7,31,Y (Y),6,N,Y,0.5317,0.8611,3,O, 
8,30,Y (Y),6,N,N,0.7857,0.9444,4,O, 
9,30,Y (Y),6,N,N,0.7817,0.9722,4,O, 
10,30,Y (Y),5,N,N,0.9365,0.1111,4,O, 
11,25,Y (N),6,N,Y,0.9880,0.9444,4,O, 
12,25,Y (Y),3,N,N,1.0000,0.4444,4,O, 
13,23,Y (Y),6,N,Y,0.8373,0.9444,4,O, 
14,21,Y (Y),6,N,Y,0.5238,0.8333,3,O, 
15,20,Y (Y),6,N,Y,0.5238,0.9444,3,O, 
16,16,Y (Y),6,N,Y,0.6706,1.0000,3,O, 
17,16,Y (Y),6,N,Y,0.5634,0.8333,3,O, 
18,16,Y (Y),6,N,Y,0.5198,1.0000,3,O, 
19,16,Y (Y),6,N,Y,0.5158,0.9722,3,O, 
20,15,Y (Y),6,N,Y,0.6468,1.0000,3,O, 
21,15,Y (Y),6,N,Y,0.5714,0.9722,3,O, 
22,15,Y (Y),6,N,Y,0.5515,0.9444,3,O, 
23,15,Y (Y),6,N,Y,0.5396,0.9444,3,O, 
24,14,Y (Y),6,N,Y,0.7023,0.8333,3,O, 
25,13,Y (Y),6,N,Y,0.8531,0.9444,4,O, 
26,11,Y (Y),6,N,Y,0.5634,1.0000,3,O, 
27,10,Y (Y),6,N,Y,0.6825,1.0000,3,O, 
28,10,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
29,10,Y (Y),6,N,Y,0.5476,1.0000,3,O, 
30,10,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
31,10,Y (Y),6,N,N,0.9087,1.0000,4,O, 
32,10,Y (Y),6,N,N,0.7182,0.6666,4,O, 
33,9,Y (Y),6,N,Y,0.5992,1.0000,3,O, 
34,9,Y (Y),6,N,Y,0.2261,0.8888,2,O, 
35,8,Y (Y),6,Y,Y,1.0000,0.8333,4,O, 
36,8,Y (Y),6,N,Y,0.8452,1.0000,4,O, 
37,8,Y (Y),6,N,Y,0.7698,0.8888,4,O, 
38,8,Y (Y),6,N,Y,0.5833,1.0000,3,O, 
39,7,Y (Y),6,N,Y,0.8690,1.0000,4,O, 
40,7,Y (Y),6,N,Y,0.6468,1.0000,3,O, 
41,7,Y (Y),6,N,Y,0.5912,0.6388,3,O, 
42,7,Y (Y),6,N,Y,0.2103,0.9722,2,O, 
43,6,Y (Y),6,N,Y,0.7896,1.0000,3,O, 
44,6,Y (Y),6,N,Y,0.5000,1.0000,3,O, 
45,5,Y (Y),6,N,Y,0.5952,0.9722,3,O, 
46,5,Y (Y),6,N,Y,0.5634,1.0000,3,X, 
47,5,Y (Y),6,N,Y,0.5317,0.8888,3,X, 
48,5,Y (Y),6,N,Y,0.5079,1.0000,3,X, 
49,5,Y (Y),6,N,Y,0.4047,1.0000,3,X, 
50,5,Y (Y),6,N,Y,0.3809,0.8333,3,X, 
51,3,Y (Y),6,N,Y,0.6230,0.6388,4,X, 
52,3,Y (Y),6,N,Y,0.6150,1.0000,3,X, 
