순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (N),6,N,Y,0.7037,0.8947,4,O, 
1,10,Y (N),6,N,Y,0.7037,0.8947,4,O, 
2,10,Y (Y),5,Y,Y,0.8888,0.8888,4,O, 
3,7,Y (Y),6,Y,Y,0.8730,1.0000,4,O, 
4,5,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
5,3,Y (Y),6,N,Y,0.6309,0.8611,3,O, 
6,3,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
7,3,Y (Y),6,N,Y,0.5436,0.9722,3,O, 
8,2,N (N),5,N,Y,0.7500,0.9375,4,O, 
9,1,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
10,1,Y (Y),6,N,Y,0.5436,0.9722,3,O, 
11,1,Y (Y),6,N,Y,0.2896,0.8055,2,O, 
12,1,N (N),6,Y,Y,1.0000,1.0000,4,O, 
13,1,N (N),6,N,Y,0.8142,1.0000,4,O, 
14,1,N (N),6,N,Y,0.5555,0.9736,3,O, 
