순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
1,10,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
2,5,Y (Y),6,N,Y,0.2936,0.7222,2,O, 
3,5,Y (Y),6,N,Y,0.2619,0.9444,2,O, 
4,4,Y (Y),6,Y,Y,0.8571,0.9444,4,O, 
5,4,Y (Y),5,N,Y,0.6349,0.8333,3,O, 
6,3,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
7,3,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
8,3,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
9,3,Y (Y),5,N,Y,0.3174,1.0000,2,O, 
10,2,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
11,2,Y (Y),6,N,Y,0.2460,0.9444,2,O, 
12,2,Y (Y),6,N,Y,0.1468,0.3611,2,O, 
13,1,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
14,1,Y (Y),6,N,Y,0.5952,0.6944,3,O, 
15,1,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
16,1,Y (Y),6,N,Y,0.2936,0.8888,2,O, 
17,1,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
18,1,Y (Y),6,N,Y,0.2500,0.9166,2,O, 
19,1,Y (Y),5,N,Y,0.2619,1.0000,2,O, 
20,1,Y (Y),5,N,Y,0.2619,0.8888,2,O, 
