순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,Y (Y),6,N,Y,0.9206,0.9473,4,O, 
1,15,Y (Y),6,N,Y,0.9206,0.9473,4,O, 
2,7,Y (Y),6,N,Y,0.5912,0.7894,3,O, 
3,6,Y (Y),6,N,Y,0.6190,0.7894,3,O, 
4,5,Y (Y),6,Y,Y,1.0000,0.6842,4,O, 
5,3,Y (Y),6,N,Y,0.9682,0.9473,4,O, 
6,3,Y (Y),6,N,Y,0.6825,0.8157,3,O, 
7,3,Y (Y),6,N,Y,0.5476,0.8157,3,O, 
8,2,Y (Y),6,Y,Y,0.9285,0.7894,4,O, 
9,2,Y (Y),6,N,Y,0.7380,1.0000,4,O, 
10,1,Y (Y),6,Y,Y,0.9920,1.0000,4,O, 
11,1,Y (Y),6,Y,Y,0.9285,0.7894,4,O, 
12,1,Y (Y),6,Y,Y,0.9126,0.7894,4,O, 
13,1,Y (Y),6,Y,Y,0.8968,0.7894,4,O, 
14,1,Y (Y),6,N,Y,1.0000,0.5000,4,O, 
15,1,Y (Y),6,N,Y,0.9761,0.4736,4,O, 
16,1,Y (Y),6,N,Y,0.8472,0.9473,4,X, 
17,1,Y (Y),6,N,Y,0.6428,0.9473,3,X, 
18,1,Y (Y),4,Y,Y,0.9761,0.7894,4,X, 
