순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),5,N,Y,0.4087,0.8611,2,O, 
1,10,Y (Y),5,N,Y,0.4087,0.8611,2,O, 
2,9,Y (Y),5,N,Y,0.2301,0.7222,2,O, 
3,8,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
4,4,Y (Y),6,N,Y,0.3174,0.9444,2,O, 
5,4,Y (Y),5,N,Y,0.6150,0.6944,3,O, 
6,3,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
7,3,Y (Y),6,N,Y,0.2698,1.0000,2,O, 
8,3,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
9,3,Y (Y),5,N,Y,0.3928,0.8611,2,O, 
10,2,Y (Y),6,N,Y,0.4325,0.6666,3,O, 
11,2,Y (Y),6,N,Y,0.3174,0.8888,2,O, 
12,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
13,1,Y (Y),6,N,Y,0.2500,0.7500,2,O, 
14,1,Y (Y),5,N,Y,0.4246,0.9166,2,O, 
15,1,Y (Y),5,N,Y,0.3015,1.0000,2,O, 
